isogroup283428	K03147
isogroup1422	K18753
isogroup45613	K04487
isogroup218953	K00558
isogroup269336	K15637
isogroup283502	K01079
isogroup60459	K03871
isogroup7063	K09420
isogroup207049	K18660
isogroup343671	K08884
isogroup270030	K16457
isogroup65924	K01322
isogroup639529	K06255
isogroup106803	K00008
isogroup263868	K00856
isogroup199258	K20717
isogroup317540	K12397
isogroup121911	K05673
isogroup35298	K06130
isogroup185489	K13126
isogroup606914	K09214
isogroup144852	K06942
isogroup67789	K13517
isogroup129992	K09067
isogroup121556	K12567
isogroup16609	K11730
isogroup312967	K01537
isogroup41540	K11276
isogroup21018	K02371
isogroup291561	K12524
isogroup10925	K07941
isogroup13672	K16186
isogroup276065	K08151
isogroup4023	K10839
isogroup112130	K01672
isogroup20356	K13813
isogroup60563	K19604
isogroup272619	K19589
isogroup54246	K18533
isogroup147520	K18081
isogroup99378	K01019
isogroup169799	K03438
isogroup23197	K09318
isogroup35014	K16489
isogroup80176	K01358
isogroup223546	K06158
isogroup67569	K11341
isogroup539	K19721
isogroup174956	K03877
isogroup195152	K00134
isogroup34075	K18621
isogroup445890	K03260
isogroup165440	K11848
isogroup113638	K20029
isogroup98283	K08770
isogroup35770	K10860
isogroup80618	K04512
isogroup12096	K05051
isogroup6154	K01061
isogroup171258	K05668
isogroup138377	K11416
isogroup181189	K10773
isogroup113895	K04905
isogroup58038	K04888
isogroup106510	K12647
isogroup171487	K06185
isogroup62851	K06127
isogroup308741	K00548
isogroup584793	K00315
isogroup117639	K09592
isogroup177442	K12486
isogroup25132	K08588
isogroup332130	K18274
isogroup93127	K18399
isogroup120970	K12460
isogroup300151	K12735
isogroup228022	K09874
isogroup171156	K04739
isogroup268451	K03868
isogroup359236	K00308
isogroup264779	K03320
isogroup134862	K17495
isogroup201312	K00873
isogroup51219	K17458
isogroup12905	K10457
isogroup22867	K02206
isogroup22090	K05545
isogroup155609	K03174
isogroup30503	K10686
isogroup27658	K01115
isogroup292365	K13448
isogroup286021	K17579
isogroup291475	K00703
isogroup276144	K14648
isogroup231802	K04515
isogroup268116	K15304
isogroup221888	K09122
isogroup284798	K04739
isogroup114163	K00059
isogroup278198	K14079
isogroup618185	K04157
isogroup72035	K17260
isogroup59923	K01768
isogroup166873	K18740
isogroup215190	K03686
isogroup281959	K09014
isogroup16136	K07914
isogroup116340	K17081
isogroup300251	K13341
isogroup280302	K14347
isogroup144315	K02925
isogroup10631	K04676
isogroup340966	K10408
isogroup69783	K17580
isogroup41845	K14777
isogroup431494	K21396
isogroup198127	K10380
isogroup114963	K04810
isogroup41685	K01349
isogroup284579	K03068
isogroup264760	K01638
isogroup320783	K03978
isogroup305856	K10408
isogroup166445	K09553
