Cladocopium259540_c1_seq2	member RAS oncogene family
Cladocopium259540_c1_seq3	member RAS oncogene family
Cladocopium259617_c1_seq1	fructose-bisphosphate aldolase
Cladocopium259617_c1_seq2	fructose-bisphosphate aldolase
Cladocopium259617_c1_seq3	fructose-bisphosphate aldolase
Cladocopium259617_c1_seq5	fructose-bisphosphate aldolase
Cladocopium259629_c0_seq2	glyceraldehyde3phosphate dehydrogenase
Cladocopium259647_c0_seq9	Leucine rich repeat containing 15
Cladocopium259654_c1_seq5	potassium voltage-gated channel shaker-related subfamily member
Cladocopium259723_c0_seq1	ATP-dependent RNA helicase
Cladocopium259723_c0_seq2	Removes the N-terminal methionine from nascent proteins (By similarity)
Cladocopium259911_c1_seq1	Granule-bound starch synthase
Cladocopium259911_c1_seq3	Granule-bound starch synthase
Cladocopium259911_c1_seq4	Granule-bound starch synthase 1
Cladocopium259911_c1_seq5	Granule-bound starch synthase
Cladocopium259911_c1_seq6	Granule-bound starch synthase
Cladocopium259911_c1_seq8	Granule-bound starch synthase
Cladocopium259911_c1_seq9	Granule-bound starch synthase
Cladocopium259912_c1_seq5	Fibroblast growth factor receptor
Cladocopium259912_c1_seq11	Fibroblast growth factor receptor
Cladocopium259912_c1_seq13	Fibroblast growth factor receptor
Cladocopium259912_c1_seq16	Fibroblast growth factor receptor
Cladocopium259929_c1_seq1	Transcription elongation factor
Cladocopium259982_c0_seq3	RecQ protein-like 5
Cladocopium259982_c0_seq4	RecQ protein-like 5
Cladocopium259985_c1_seq3	
Cladocopium260054_c0_seq1	WD domain, G-beta repeat
Cladocopium260133_c0_seq1	Inherit from NOG: VSP with INR
Cladocopium260133_c0_seq3	GCC2 and GCC3
Cladocopium260133_c0_seq24	GCC2 and GCC3
Cladocopium260135_c0_seq33	E3 ubiquitin- protein ligase
Cladocopium260353_c0_seq1	exchanger
Cladocopium260378_c0_seq1	Alpha-1,3-mannosyl-glycoprotein
Cladocopium260441_c0_seq1	ubiquitin-conjugating enzyme
Cladocopium260441_c1_seq1	SAC3/GANP/Nin1/mts3/eIF-3 p25 family
Cladocopium260471_c0_seq1	transmembrane 9 superfamily member
Cladocopium260610_c0_seq1	Tex-like protein N-terminal domain
Cladocopium260780_c0_seq1	UDP-glucose 6-dehydrogenase
Cladocopium260780_c0_seq2	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq3	UDP-glucose 6-dehydrogenase
Cladocopium260780_c0_seq4	UDP-glucose 6-dehydrogenase
Cladocopium260780_c0_seq5	UDP-glucose 6-dehydrogenase
Cladocopium260780_c0_seq8	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq11	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq12	UDP-glucose 6-dehydrogenase
Cladocopium260780_c0_seq13	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq14	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq16	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq17	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq19	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq22	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq23	proprotein convertase subtilisin kexin type
Cladocopium260780_c0_seq26	UDP-glucose 6-dehydrogenase
Cladocopium260780_c1_seq1	XPG I-region protein
Cladocopium260804_c0_seq2	Uncharacterised conserved protein
Cladocopium260879_c1_seq2	silent information regulator protein Sir2
Cladocopium260957_c0_seq1	gamma-aminobutyric acid (GABA) B receptor 1
Cladocopium260957_c0_seq2	gamma-aminobutyric acid (GABA) B receptor 1
Cladocopium260957_c0_seq3	gamma-aminobutyric acid (GABA) B receptor 1
Cladocopium260957_c0_seq4	gamma-aminobutyric acid (GABA) B receptor 1
Cladocopium260957_c0_seq5	gamma-aminobutyric acid (GABA) B receptor 1
Cladocopium260957_c0_seq6	gamma-aminobutyric acid (GABA) B receptor 1
Cladocopium260992_c2_seq1	whole genome shotgun sequence
Cladocopium261010_c1_seq1	Glutamine synthetase, beta-Grasp domain
Cladocopium261010_c1_seq4	Glutamine synthetase, beta-Grasp domain
Cladocopium261010_c1_seq5	glutamine synthetase
Cladocopium261010_c1_seq6	Glutamine synthetase, beta-Grasp domain
Cladocopium261010_c1_seq8	Glutamine synthetase, beta-Grasp domain
Cladocopium261289_c0_seq1	transporter
Cladocopium261289_c0_seq2	transporter
Cladocopium261289_c0_seq3	transporter
Cladocopium261298_c0_seq7	myosin, heavy chain
Cladocopium261298_c0_seq8	myosin, heavy chain
Cladocopium261298_c0_seq9	MYSc
Cladocopium261298_c0_seq11	myosin, heavy chain
Cladocopium261515_c0_seq1	
Cladocopium261607_c1_seq1	Removes the N-terminal methionine from nascent proteins (By similarity)
Cladocopium261623_c0_seq1	carbamoylphosphate synthase
Cladocopium261639_c0_seq1	Sad1 / UNC-like C-terminal
Cladocopium261639_c1_seq2	HECT domain containing E3 ubiquitin protein ligase 1
Cladocopium261639_c1_seq3	HECT domain containing E3 ubiquitin protein ligase 1
Cladocopium261664_c0_seq4	Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules
Cladocopium261781_c0_seq1	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Cladocopium261781_c0_seq2	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Cladocopium261781_c0_seq3	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Cladocopium261781_c0_seq4	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Cladocopium261781_c0_seq5	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Cladocopium261802_c0_seq1	POT family
Cladocopium261819_c0_seq1	Myosin vi
Cladocopium261819_c0_seq4	Myosin vi
Cladocopium261911_c1_seq2	N-ethylmaleimide-sensitive factor
Cladocopium262007_c0_seq1	heat shock
Cladocopium262007_c0_seq2	heat shock
Cladocopium262007_c0_seq4	heat shock
Cladocopium262012_c0_seq9	Notch ligand involved in the mediation of Notch signaling (By similarity)
Cladocopium262075_c0_seq21	Leucine-rich repeat protein
Cladocopium262103_c0_seq1	Histidine kinase
Cladocopium262103_c0_seq3	Histidine kinase
Cladocopium262103_c0_seq4	Histidine kinase
Cladocopium262103_c0_seq5	Histidine kinase
Cladocopium262103_c0_seq6	ammonium transporter
Cladocopium262103_c0_seq7	Histidine kinase
Cladocopium262103_c0_seq8	Histidine kinase
Cladocopium262103_c0_seq9	ammonium transporter
Cladocopium262103_c0_seq11	Histidine kinase
Cladocopium262103_c0_seq14	Ammonium transporter
Cladocopium262103_c0_seq15	ammonium transporter
Cladocopium262103_c0_seq16	Histidine kinase
Cladocopium262103_c0_seq18	ammonium transporter
Cladocopium262103_c0_seq19	Ammonium transporter
Cladocopium262103_c0_seq21	ammonium transporter
Cladocopium262103_c0_seq22	Histidine kinase
Cladocopium262103_c0_seq23	ammonium transporter
Cladocopium262103_c0_seq24	ammonium transporter
Cladocopium262135_c0_seq1	Plexin domain containing 2
Cladocopium262135_c0_seq2	Plexin domain containing 2
Cladocopium262135_c0_seq3	Plexin domain containing 2
Cladocopium262135_c0_seq4	Plexin domain containing 2
Cladocopium262135_c0_seq9	Plexin domain containing 2
Cladocopium262135_c0_seq10	Plexin domain containing 2
Cladocopium262173_c1_seq1	Kinesin family
Cladocopium262185_c0_seq1	pyruvate phosphate dikinase
Cladocopium262185_c0_seq2	pyruvate phosphate dikinase
Cladocopium262185_c0_seq3	pyruvate phosphate dikinase
Cladocopium262502_c0_seq1	major facilitator superfamily MFS_1
Cladocopium262502_c0_seq3	major facilitator superfamily MFS_1
Cladocopium262502_c0_seq8	transporter
Cladocopium262517_c0_seq5	Zinc finger, DHHC-type containing
Cladocopium262517_c0_seq15	Zinc finger, DHHC-type containing
Cladocopium262751_c0_seq1	ATP citrate lyase
Cladocopium262751_c0_seq2	ATP citrate lyase
Cladocopium262751_c0_seq3	ATP citrate lyase
Cladocopium262793_c1_seq1	Starch synthase catalytic domain
Cladocopium262793_c2_seq1	Glycoside hydrolase family 13 and glycosyltransferase family 5
Cladocopium262821_c2_seq1	Protein disulfide isomerase
Cladocopium262902_c0_seq1	HCO3- transporter family
Cladocopium262902_c0_seq2	HCO3- transporter family
Cladocopium262902_c0_seq3	HCO3- transporter family
Cladocopium262902_c0_seq4	HCO3- transporter family
Cladocopium262902_c0_seq6	HCO3- transporter family
Cladocopium262902_c0_seq7	HCO3- transporter family
Cladocopium262902_c0_seq8	HCO3- transporter family
Cladocopium263208_c0_seq1	amino acid adenylation domain protein
Cladocopium263208_c0_seq2	amino acid adenylation domain protein
Cladocopium263208_c0_seq3	non-ribosomal peptide synthetase
Cladocopium263208_c0_seq4	amino acid adenylation domain protein
Cladocopium263292_c0_seq1	Lipoxygenase
Cladocopium263292_c0_seq2	Lipoxygenase
Cladocopium263297_c0_seq1	leucine rich repeat
Cladocopium263297_c0_seq2	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
Cladocopium263341_c0_seq1	Carboxyl transferase domain
Cladocopium263380_c0_seq1	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)
Cladocopium263380_c0_seq2	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)
Cladocopium263380_c1_seq1	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)
Cladocopium263380_c1_seq2	This enzyme is required for electron transfer from NADP to cytochrome P450 (By similarity)
Cladocopium263525_c0_seq1	Methionine synthase, vitamin-B12 independent
Cladocopium263525_c0_seq2	Methionine synthase, vitamin-B12 independent
Cladocopium263525_c0_seq3	Methionine synthase, vitamin-B12 independent
Cladocopium263525_c0_seq4	Methionine synthase, vitamin-B12 independent
Cladocopium263525_c1_seq1	polyketide synthase
Cladocopium263631_c0_seq2	helicase
Cladocopium263631_c0_seq4	helicase
Cladocopium263631_c0_seq6	helicase
Cladocopium263631_c0_seq7	helicase
Cladocopium263631_c0_seq12	helicase
Cladocopium263631_c0_seq15	helicase
Cladocopium263697_c1_seq1	PUL domain
Cladocopium263720_c0_seq7	Hydroxysteroid dehydrogenase like 2
Cladocopium263720_c0_seq9	Hydroxysteroid dehydrogenase like 2
Cladocopium263746_c0_seq1	Ankyrin repeat
Cladocopium263746_c0_seq7	Ankyrin repeat
Cladocopium263746_c0_seq8	Ankyrin repeat
Cladocopium263746_c0_seq10	Ankyrin repeat
Cladocopium263838_c0_seq1	ribosomal protein L5
Cladocopium263846_c0_seq1	40S ribosomal protein S8
Cladocopium263847_c0_seq1	Ribosomal protein L15
Cladocopium263850_c0_seq1	cysteine proteinase
Cladocopium263851_c0_seq1	dehydrogenase reductase
Cladocopium263858_c0_seq1	Ribosomal L28e protein family
Cladocopium263868_c0_seq1	pfkB family carbohydrate kinase
Cladocopium263869_c0_seq1	Transhydrogenase
Cladocopium263870_c0_seq1	ubiquitin-dependent protein catabolic process
Cladocopium263874_c0_seq1	Ferredoxin--NADP reductase, leaf isozyme
Cladocopium263881_c0_seq1	Phosphoglycerate kinase
Cladocopium263883_c0_seq1	ribosomal protein L5
Cladocopium263897_c0_seq1	geranylgeranyl diphosphate reductase
Cladocopium263900_c0_seq1	PPIases accelerate the folding of proteins
Cladocopium263902_c0_seq1	Ribosomal L28e protein family
Cladocopium263906_c0_seq1	cathepsin
Cladocopium263909_c0_seq1	syndrome nuclear autoantigen 1
Cladocopium263910_c0_seq1	Cpn10
Cladocopium263911_c0_seq1	Binds to the 23S rRNA (By similarity)
Cladocopium263914_c0_seq1	Molecular calcium-binding chaperone promoting folding, oligomeric assembly and quality control in the ER via the calreticulin calnexin cycle. This lectin may interact transiently with almost all of the monoglucosylated glycoproteins that are synthesized in the ER (By similarity)
Cladocopium263916_c0_seq1	4Fe-4S ferredoxin, iron-sulfur binding
Cladocopium263917_c0_seq1	ATP-sulfurylase
Cladocopium263919_c0_seq1	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein (By similarity)
Cladocopium263921_c0_seq1	60S ribosomal protein L13
Cladocopium263922_c0_seq1	O-methyltransferase, family 2
Cladocopium263925_c0_seq1	glyceraldehyde3phosphate dehydrogenase
Cladocopium263931_c0_seq1	intraflagellar transport 81 homolog (Chlamydomonas)
Cladocopium263934_c0_seq1	Component of the nascent polypeptide-associated complex (NAC), a dynamic component of the ribosomal exit tunnel, protecting the emerging polypeptides from interaction with other cytoplasmic proteins to ensure appropriate nascent protein targeting (By similarity). The NAC complex also promotes mitochondrial protein import by enhancing productive ribosome interactions with the outer mitochondrial membrane and blocks the inappropriate interaction of ribosomes translating non-secretory nascent polypeptides with translocation sites in the membrane of the endoplasmic reticulum (By similarity). EGD1 may act as a transcription factor that exert a negative effect on the expression of several genes that are transcribed by RNA polymerase II (By similarity)
Cladocopium263939_c0_seq1	cytochrome p450
Cladocopium263944_c0_seq1	pumilio homolog
Cladocopium263952_c0_seq1	PARK2 co-regulated
Cladocopium263954_c0_seq1	Inorganic pyrophosphatase
Cladocopium263959_c0_seq1	
Cladocopium263961_c0_seq1	60S ribosomal protein L18
Cladocopium263964_c0_seq1	replication protein
Cladocopium263965_c0_seq1	Inherit from euNOG: Radial spoke
Cladocopium263979_c0_seq1	(RNA) helicase
Cladocopium263983_c0_seq1	TCP-1 cpn60
Cladocopium263984_c0_seq1	cysteine proteinase
Cladocopium263991_c0_seq1	SEC14
Cladocopium263995_c0_seq1	ubiquitin-dependent protein catabolic process
Cladocopium264005_c0_seq1	histone h2a
Cladocopium264015_c0_seq1	eukaryotic translation initiation factor
Cladocopium264016_c0_seq1	40S ribosomal protein S3a
Cladocopium264017_c0_seq1	Papain family cysteine protease
Cladocopium264017_c1_seq1	Pept_C1
Cladocopium264026_c0_seq1	Ribosomal protein L34e
Cladocopium264028_c0_seq1	t-complex protein 1 subunit
Cladocopium264031_c0_seq1	RNA binding motif protein 8A
Cladocopium264033_c0_seq1	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
Cladocopium264038_c0_seq1	transmembrane transport
Cladocopium264050_c0_seq1	Dienelactone hydrolase family protein
Cladocopium264053_c0_seq1	Ribosomal protein L15
Cladocopium264056_c0_seq1	Inherit from apiNOG: U2 small nuclear ribonucleoprotein
Cladocopium264058_c0_seq1	ubiquitin-conjugating enzyme
Cladocopium264060_c0_seq1	Dynein, axonemal, light intermediate chain 1
Cladocopium264063_c0_seq1	dna replication licensing factor
Cladocopium264069_c0_seq1	beta' subunit
Cladocopium264071_c0_seq1	Mago nashi
Cladocopium264076_c0_seq1	ATPase, H transporting, lysosomal 21kDa, V0 subunit b
Cladocopium264079_c0_seq1	enolase (EC 4.2.1.11)
Cladocopium264081_c0_seq1	Ribosomal protein L35
Cladocopium264084_c0_seq1	importin subunit alpha
Cladocopium264087_c0_seq1	40S ribosomal protein
Cladocopium264092_c0_seq1	PPP5 TPR repeat region
Cladocopium264095_c0_seq1	actin-depolymerizing factor
Cladocopium264096_c0_seq1	SyrP protein
Cladocopium264106_c0_seq1	Tetratricopeptide repeat
Cladocopium264114_c0_seq1	T-complex protein 1 subunit delta
Cladocopium264119_c0_seq1	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Cladocopium264121_c0_seq1	lhcb6, cp24 lhcb6 (light harvesting complex psii subunit 6)
Cladocopium264122_c0_seq1	Elongation factor 1 gamma, conserved domain
Cladocopium264126_c0_seq1	Fatty acid hydroxylase superfamily
Cladocopium264135_c0_seq1	microtubule-associated protein RP EB family member
Cladocopium264139_c0_seq1	glutathione Stransferase
Cladocopium264140_c0_seq1	Xylose isomerase
Cladocopium264144_c0_seq1	Peptidyl-prolyl cis-trans isomerase
Cladocopium264146_c0_seq1	dCMP deaminase
Cladocopium264157_c0_seq1	PPIases accelerate the folding of proteins (By similarity)
Cladocopium264158_c0_seq1	GTP-binding nuclear protein
Cladocopium264164_c0_seq1	Inherit from strNOG: Citrate transporter
Cladocopium264165_c0_seq1	Phosphoribulokinase
Cladocopium264169_c0_seq1	transport protein
Cladocopium264171_c0_seq1	Serine hydrolase (FSH1)
Cladocopium264172_c0_seq1	NDC80 kinetochore complex component, homolog (S. cerevisiae)
Cladocopium264178_c0_seq1	tetratricopeptide repeat domain
Cladocopium264187_c0_seq1	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Cladocopium264191_c0_seq1	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)
Cladocopium264192_c0_seq1	Aminotransferase
Cladocopium264199_c0_seq1	Nicotinamide nucleotide transhydrogenase
Cladocopium264200_c0_seq1	Acyl transferase domain
Cladocopium264206_c0_seq1	Small nuclear ribonucleoprotein polypeptide
Cladocopium264207_c0_seq1	Protein CWC15 homolog
Cladocopium264208_c0_seq1	dehydrogenase
Cladocopium264212_c0_seq1	Thioredoxin dynein outer arm protein
Cladocopium264218_c0_seq1	alpha-1,6-mannosyltransferase
Cladocopium264219_c0_seq1	May have a role in immune function. Probably involved in the processing of antigenic peptides during MHC class II-mediated antigen presentation. May play a role in activation-induced lymphocyte depletion in the thymus, and in neuronal degeneration and glial cell activation in the brain
Cladocopium264226_c0_seq1	phosphoribosylformylglycinamidine cyclo-ligase
Cladocopium264229_c0_seq1	SecY translocase
Cladocopium264232_c0_seq1	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Cladocopium264233_c0_seq1	PH domain
Cladocopium264235_c0_seq1	Tctex1 domain containing
Cladocopium264242_c0_seq1	serine threonine-protein phosphatase 6 regulatory ankyrin repeat subunit
Cladocopium264246_c0_seq1	Peptidyl-prolyl cis-trans isomerase
Cladocopium264247_c0_seq1	leucine rich repeat
Cladocopium264248_c0_seq1	Carboxypeptidase
Cladocopium264249_c0_seq1	Phosphoribosyl transferase domain
Cladocopium264260_c0_seq1	ribosomal protein L30, component of cytosolic 80S ribosome and 60S large subunit
Cladocopium264265_c0_seq1	cathepsin
Cladocopium264266_c0_seq1	Cancer susceptibility candidate 1
Cladocopium264271_c0_seq1	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Cladocopium264276_c0_seq1	Alpha-keto-beta-hydroxylacyl reductoisomerase
Cladocopium264278_c0_seq1	o-acyltransferase
Cladocopium264282_c0_seq1	Inherit from KOG: phosphatidylinositol-4-phosphate 5-kinase
Cladocopium264284_c0_seq1	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Cladocopium264290_c0_seq1	integral membrane protein, terc
Cladocopium264297_c0_seq1	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Cladocopium264298_c0_seq1	coiledcoil domain containing
Cladocopium264303_c0_seq1	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Cladocopium264306_c0_seq1	transmembrane BAX inhibitor
Cladocopium264312_c0_seq1	UDP-galactopyranose mutase
Cladocopium264314_c0_seq1	Charged multivesicular body protein
Cladocopium264316_c0_seq1	splicing factor
Cladocopium264318_c0_seq1	Sulfate transporter
Cladocopium264324_c0_seq1	RCC1 and BTB domain-containing protein
Cladocopium264332_c0_seq1	CCR4-NOT transcription complex subunit
Cladocopium264334_c0_seq1	XAP5, circadian clock regulator
Cladocopium264336_c0_seq1	Activator of Hsp90 ATPase, N-terminal
Cladocopium264337_c0_seq1	cysteine synthase
Cladocopium264339_c0_seq1	
Cladocopium264345_c0_seq1	mitogen-activated protein kinase kinase
Cladocopium264354_c0_seq1	Protein phosphatase 2, regulatory subunit B
Cladocopium264360_c0_seq1	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)
Cladocopium264361_c0_seq1	DEAD/DEAH box helicase
Cladocopium264364_c0_seq1	TNF receptor-associated factor 3 interacting protein 1
Cladocopium264365_c0_seq1	
Cladocopium264370_c0_seq1	RAB23, member RAS oncogene family
Cladocopium264376_c0_seq1	malic enzyme
Cladocopium264378_c0_seq1	acyl-coa binding
Cladocopium264383_c0_seq1	Beta-lactamase domain protein
Cladocopium264387_c0_seq1	Protein disulfide isomerase
Cladocopium264391_c0_seq1	S_TKc
Cladocopium264397_c0_seq1	ubiquitin-conjugating enzyme
Cladocopium264398_c0_seq1	fumarate reductase
Cladocopium264399_c0_seq1	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Cladocopium264401_c0_seq1	zinc finger CCCH domain-containing protein
Cladocopium264405_c0_seq1	GTP binding protein
Cladocopium264423_c0_seq1	nucleoredoxin-like
Cladocopium264424_c0_seq1	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)
Cladocopium264427_c0_seq1	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Cladocopium264428_c0_seq1	tetratricopeptide repeat domain 26
Cladocopium264437_c0_seq1	zinc finger
Cladocopium264446_c0_seq1	DUF221 domain-containing protein
Cladocopium264453_c0_seq1	Oxidoreductase molybdopterin binding
Cladocopium264457_c0_seq1	Hydroxyacyl-CoA dehydrogenase 3-ketoacyl-CoA thiolase enoyl-CoA hydratase (Trifunctional protein), alpha subunit
Cladocopium264458_c0_seq1	serine threonine-protein kinase
Cladocopium264467_c0_seq1	Eukaryotic and archaeal DNA primase, large subunit
Cladocopium264468_c0_seq1	Casein Kinase
Cladocopium264471_c0_seq1	glyceraldehyde3phosphate dehydrogenase
Cladocopium264478_c0_seq1	importin subunit alpha
Cladocopium264479_c0_seq1	Inherit from NOG: IQ motif containing D
Cladocopium264481_c0_seq1	Aspartyl protease
Cladocopium264484_c0_seq1	splicing factor (U2AF)
Cladocopium264490_c0_seq1	radial spoke head 10 homolog B2 (Chlamydomonas)
Cladocopium264491_c0_seq1	'Cold-shock' DNA-binding domain protein
Cladocopium264493_c0_seq1	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
Cladocopium264498_c0_seq1	Protein transport protein Sec61
Cladocopium264502_c0_seq1	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
Cladocopium264506_c0_seq1	eukaryotic translation initiation factor 2
Cladocopium264512_c0_seq1	vacuolar protein sorting 29
