Mcavernosa30988	K13912
Mcavernosa13875	K19521
Mcavernosa04218	K10645
Mcavernosa20458	K05396
Mcavernosa33401	K24674
Mcavernosa18165	K08585
Mcavernosa25086	K16506
Mcavernosa14084	K04780
Mcavernosa12298	K17352
Mcavernosa04794	K15430
Mcavernosa08566	K14354
Mcavernosa07125	K01619
Mcavernosa14579	K24123
Mcavernosa28090	K12471
Mcavernosa26459	K21734
Mcavernosa03817	K22765
Mcavernosa09585	K25424
Mcavernosa21619	K23735
Mcavernosa29427	K09584
Mcavernosa34467	K01349
Mcavernosa15925	K10106
Mcavernosa14703	K11981
Mcavernosa01864	K21198
Mcavernosa13566	K11124
Mcavernosa09362	K09226
Mcavernosa16153	K10360
Mcavernosa07663	K03327
Mcavernosa09230	K15261
Mcavernosa26665	K08789
Mcavernosa00557	K17286
Mcavernosa28765	K17545
Mcavernosa06355	K01749
Mcavernosa14934	K09577
Mcavernosa10917	K20280
Mcavernosa05108	K08105
Mcavernosa08271	K08193
Mcavernosa22812	K09577
Mcavernosa19346	K01698
Mcavernosa31393	K10276
Mcavernosa03461	K12417
Mcavernosa04229	K06058
Mcavernosa01426	K22282
Mcavernosa27444	K23308
Mcavernosa07751	K24835
Mcavernosa21610	K22755
Mcavernosa12192	K11294
Mcavernosa12279	K14703
Mcavernosa23219	K00774
Mcavernosa19279	K13338
Mcavernosa23602	K09091
Mcavernosa30847	K16602
Mcavernosa04113	K24979
Mcavernosa30504	K05126
Mcavernosa33691	K05695
Mcavernosa20568	K06997
Mcavernosa18053	K19703
Mcavernosa13098	K19754
Mcavernosa04914	K17341
Mcavernosa07770	K24428
Mcavernosa30097	K08621
Mcavernosa20405	K18711
Mcavernosa24520	K01408
Mcavernosa10933	K01340
Mcavernosa05408	K02163
Mcavernosa16452	K04967
Mcavernosa04900	K05635
Mcavernosa10536	K19402
Mcavernosa21309	K00871
Mcavernosa30625	K00059
Mcavernosa12080	K06694
Mcavernosa04934	K19882
Mcavernosa17261	K16667
Mcavernosa05154	K13864
Mcavernosa17606	K06619
Mcavernosa16006	K04463
Mcavernosa20710	K15261
Mcavernosa10617	K10422
Mcavernosa05114	K16059
Mcavernosa25438	K20285
Mcavernosa19111	K20406
Mcavernosa06799	K07901
Mcavernosa02071	K07440
Mcavernosa13763	K17504
Mcavernosa30430	K17095
Mcavernosa12277	K08857
Mcavernosa27543	K04828
Mcavernosa17564	K18826
Mcavernosa23152	K14293
Mcavernosa21073	K17341
Mcavernosa10032	K17383
Mcavernosa06508	K16461
Mcavernosa04854	K17300
Mcavernosa15292	K21853
Mcavernosa14552	K13191
Mcavernosa24808	K16746
Mcavernosa26740	K04515
Mcavernosa07385	K08073
Mcavernosa17992	K20198
Mcavernosa12910	K17268
Mcavernosa27285	K16855
Mcavernosa28183	K06270
Mcavernosa07163	K08076
Mcavernosa14996	K24418
Mcavernosa16702	K01217
Mcavernosa24473	K14684
Mcavernosa00836	K08272
Mcavernosa08569	K10366
Mcavernosa35214	K01845
Mcavernosa05136	K15109
Mcavernosa21183	K13710
Mcavernosa23257	K03990
Mcavernosa24919	K14589
Mcavernosa01708	K20177
Mcavernosa26655	K10349
Mcavernosa07261	K17637
Mcavernosa07269	K23860
