Mcavernosa16418	Transcription
Mcavernosa13875	Transcription
Mcavernosa30988	Posttranslational modification, protein turnover, chaperones
Mcavernosa03756	Signal transduction mechanisms
Mcavernosa08049	Carbohydrate transport and metabolism
Mcavernosa07744	Cell cycle control, cell division, chromosome partitioning
Mcavernosa31896	Translation, ribosomal structure and biogenesis
Mcavernosa22402	Cell cycle control, cell division, chromosome partitioning
Mcavernosa33750	Translation, ribosomal structure and biogenesis
Mcavernosa02657	Energy production and conversion
Mcavernosa24853	Extracellular structures
Mcavernosa04218	Posttranslational modification, protein turnover, chaperones
Mcavernosa12004	Cytoskeleton
Mcavernosa24673	Posttranslational modification, protein turnover, chaperones
Mcavernosa24290	Amino acid transport and metabolism
Mcavernosa20458	Amino acid transport and metabolism
Mcavernosa33401	
Mcavernosa18165	
Mcavernosa10946	Cell cycle control, cell division, chromosome partitioning
Mcavernosa14084	Secondary metabolites biosynthesis, transport and catabolism
Mcavernosa25086	Signal transduction mechanisms
Mcavernosa34457	
Mcavernosa04794	Replication, recombination and repair
Mcavernosa08566	Inorganic ion transport and metabolism
Mcavernosa07125	Nucleotide transport and metabolism
Mcavernosa14579	
Mcavernosa28090	Nucleotide transport and metabolism
Mcavernosa26459	Lipid transport and metabolism
Mcavernosa23141	
Mcavernosa16481	Inorganic ion transport and metabolism
Mcavernosa13303	Transcription
Mcavernosa10079	Replication, recombination and repair
Mcavernosa21619	
Mcavernosa09208	Translation, ribosomal structure and biogenesis
Mcavernosa12958	Cell cycle control, cell division, chromosome partitioning
Mcavernosa18285	Replication, recombination and repair
Mcavernosa29427	Posttranslational modification, protein turnover, chaperones
Mcavernosa20039	Signal transduction mechanisms
Mcavernosa34467	Posttranslational modification, protein turnover, chaperones
Mcavernosa03807	Signal transduction mechanisms
Mcavernosa01864	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa13566	RNA processing and modification
Mcavernosa31094	Transcription
Mcavernosa16153	Cytoskeleton
Mcavernosa09230	
Mcavernosa07663	Defense mechanisms
Mcavernosa12808	Carbohydrate transport and metabolism
Mcavernosa26665	Signal transduction mechanisms
Mcavernosa22157	Lipid transport and metabolism
Mcavernosa28765	Signal transduction mechanisms
Mcavernosa00557	Energy production and conversion
Mcavernosa06355	Coenzyme transport and metabolism
Mcavernosa11945	Signal transduction mechanisms
Mcavernosa14934	Posttranslational modification, protein turnover, chaperones
Mcavernosa24069	Posttranslational modification, protein turnover, chaperones
Mcavernosa10917	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa13675	
Mcavernosa34297	
Mcavernosa05108	Carbohydrate transport and metabolism
Mcavernosa07376	Transcription
Mcavernosa19346	Coenzyme transport and metabolism
Mcavernosa08271	Carbohydrate transport and metabolism
Mcavernosa34624	Transcription
Mcavernosa22812	Posttranslational modification, protein turnover, chaperones
Mcavernosa26052	
Mcavernosa28005	
Mcavernosa31393	Chromatin structure and dynamics
Mcavernosa03461	Lipid transport and metabolism
Mcavernosa09839	Signal transduction mechanisms
Mcavernosa04229	Posttranslational modification, protein turnover, chaperones
Mcavernosa26443	Nucleotide transport and metabolism
Mcavernosa01426	Lipid transport and metabolism
Mcavernosa11845	Energy production and conversion
Mcavernosa26268	Posttranslational modification, protein turnover, chaperones
Mcavernosa02271	Replication, recombination and repair
Mcavernosa25611	Chromatin structure and dynamics
Mcavernosa01089	Carbohydrate transport and metabolism
Mcavernosa07751	
Mcavernosa21610	Chromatin structure and dynamics
Mcavernosa12192	RNA processing and modification
Mcavernosa12279	Inorganic ion transport and metabolism
Mcavernosa23219	Carbohydrate transport and metabolism
Mcavernosa19279	Posttranslational modification, protein turnover, chaperones
Mcavernosa23602	Transcription
Mcavernosa25819	Cytoskeleton
Mcavernosa30847	Posttranslational modification, protein turnover, chaperones
Mcavernosa14567	
Mcavernosa04113	RNA processing and modification
Mcavernosa30504	Signal transduction mechanisms
Mcavernosa21160	
Mcavernosa33691	Signal transduction mechanisms
Mcavernosa34285	Replication, recombination and repair
Mcavernosa18053	Lipid transport and metabolism
Mcavernosa33505	Translation, ribosomal structure and biogenesis
Mcavernosa04914	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa12833	
Mcavernosa14101	Chromatin structure and dynamics
Mcavernosa10954	Extracellular structures
Mcavernosa15423	Posttranslational modification, protein turnover, chaperones
Mcavernosa30097	Posttranslational modification, protein turnover, chaperones
Mcavernosa20405	RNA processing and modification
Mcavernosa31713	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa13555	Transcription
Mcavernosa03596	Amino acid transport and metabolism
Mcavernosa17981	Inorganic ion transport and metabolism
Mcavernosa20773	Defense mechanisms
Mcavernosa24520	Posttranslational modification, protein turnover, chaperones
Mcavernosa10933	Amino acid transport and metabolism
Mcavernosa05408	Signal transduction mechanisms
Mcavernosa16452	
Mcavernosa04900	Posttranslational modification, protein turnover, chaperones
Mcavernosa28740	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa21309	Signal transduction mechanisms
Mcavernosa27614	
Mcavernosa30625	Secondary metabolites biosynthesis, transport and catabolism
Mcavernosa04934	Cell wall/membrane/envelope biogenesis
Mcavernosa25555	Posttranslational modification, protein turnover, chaperones
Mcavernosa17261	Signal transduction mechanisms
Mcavernosa25045	Signal transduction mechanisms
Mcavernosa06751	Posttranslational modification, protein turnover, chaperones
Mcavernosa05154	Amino acid transport and metabolism
Mcavernosa11166	Signal transduction mechanisms
Mcavernosa17606	Signal transduction mechanisms
Mcavernosa16006	Signal transduction mechanisms
Mcavernosa20710	
Mcavernosa14433	Signal transduction mechanisms
Mcavernosa10617	Cytoskeleton
Mcavernosa13023	Translation, ribosomal structure and biogenesis
Mcavernosa05488	Carbohydrate transport and metabolism
Mcavernosa13580	Translation, ribosomal structure and biogenesis
Mcavernosa19111	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa30396	Energy production and conversion
Mcavernosa06799	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa14817	Posttranslational modification, protein turnover, chaperones
Mcavernosa13763	Signal transduction mechanisms
Mcavernosa02071	
Mcavernosa33219	Inorganic ion transport and metabolism
Mcavernosa17089	Signal transduction mechanisms
Mcavernosa03736	Posttranslational modification, protein turnover, chaperones
Mcavernosa30430	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa12277	Signal transduction mechanisms
Mcavernosa27543	Energy production and conversion
Mcavernosa28099	Inorganic ion transport and metabolism
Mcavernosa06137	Transcription
Mcavernosa10240	Cell wall/membrane/envelope biogenesis
Mcavernosa15494	Cytoskeleton
Mcavernosa23152	
Mcavernosa17000	Defense mechanisms
Mcavernosa18048	Posttranslational modification, protein turnover, chaperones
Mcavernosa21073	Inorganic ion transport and metabolism
Mcavernosa13249	
Mcavernosa09219	RNA processing and modification
Mcavernosa04866	Posttranslational modification, protein turnover, chaperones
Mcavernosa27239	Cytoskeleton
Mcavernosa18581	RNA processing and modification
Mcavernosa13758	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa15292	Signal transduction mechanisms
Mcavernosa18068	Transcription
Mcavernosa14552	RNA processing and modification
Mcavernosa16467	
Mcavernosa13885	RNA processing and modification
Mcavernosa28769	Translation, ribosomal structure and biogenesis
Mcavernosa03091	
Mcavernosa26740	Signal transduction mechanisms
Mcavernosa11141	
Mcavernosa07385	
Mcavernosa17992	Cytoskeleton
Mcavernosa12910	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa12818	
Mcavernosa02639	Posttranslational modification, protein turnover, chaperones
Mcavernosa28183	
Mcavernosa07163	Posttranslational modification, protein turnover, chaperones
Mcavernosa14996	Translation, ribosomal structure and biogenesis
Mcavernosa13572	Signal transduction mechanisms
Mcavernosa12925	RNA processing and modification
Mcavernosa06517	
Mcavernosa16702	Carbohydrate transport and metabolism
Mcavernosa24473	Energy production and conversion
Mcavernosa08569	Cytoskeleton
Mcavernosa35214	Coenzyme transport and metabolism
Mcavernosa34778	Posttranslational modification, protein turnover, chaperones
Mcavernosa05136	Energy production and conversion
Mcavernosa21183	Signal transduction mechanisms
Mcavernosa10100	Translation, ribosomal structure and biogenesis
Mcavernosa14783	Defense mechanisms
Mcavernosa07706	RNA processing and modification
Mcavernosa24919	RNA processing and modification
Mcavernosa07845	Transcription
Mcavernosa01708	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa23241	Amino acid transport and metabolism
Mcavernosa09009	Cytoskeleton
Mcavernosa12337	Transcription
Mcavernosa28040	
Mcavernosa25933	Cytoskeleton
Mcavernosa09609	Carbohydrate transport and metabolism
Mcavernosa07261	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa09371	Signal transduction mechanisms
Mcavernosa05532	Signal transduction mechanisms
Mcavernosa31575	Replication, recombination and repair
Mcavernosa07269	Signal transduction mechanisms
Mcavernosa18841	
Mcavernosa01715	Lipid transport and metabolism
Mcavernosa02488	
Mcavernosa28635	Transcription
Mcavernosa00737	Carbohydrate transport and metabolism
Mcavernosa32503	Signal transduction mechanisms
Mcavernosa12759	Posttranslational modification, protein turnover, chaperones
Mcavernosa00810	Posttranslational modification, protein turnover, chaperones
Mcavernosa34309	Nucleotide transport and metabolism
Mcavernosa01036	Cytoskeleton
Mcavernosa23967	Signal transduction mechanisms
Mcavernosa25701	Amino acid transport and metabolism
Mcavernosa31537	Signal transduction mechanisms
Mcavernosa10070	Signal transduction mechanisms
Mcavernosa13665	Translation, ribosomal structure and biogenesis
Mcavernosa15954	
Mcavernosa04721	Posttranslational modification, protein turnover, chaperones
Mcavernosa00397	Signal transduction mechanisms
Mcavernosa11415	Signal transduction mechanisms
Mcavernosa20615	Signal transduction mechanisms
Mcavernosa20441	Signal transduction mechanisms
Mcavernosa17109	Inorganic ion transport and metabolism
Mcavernosa08055	Transcription
Mcavernosa29954	Signal transduction mechanisms
Mcavernosa20040	Signal transduction mechanisms
Mcavernosa05895	Signal transduction mechanisms
Mcavernosa10287	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa20145	Signal transduction mechanisms
Mcavernosa00408	
Mcavernosa02692	Signal transduction mechanisms
Mcavernosa06111	Signal transduction mechanisms
Mcavernosa20672	Secondary metabolites biosynthesis, transport and catabolism
Mcavernosa30913	Carbohydrate transport and metabolism
Mcavernosa04392	Energy production and conversion
Mcavernosa01487	Energy production and conversion
Mcavernosa02694	Signal transduction mechanisms
Mcavernosa14227	
Mcavernosa20487	Carbohydrate transport and metabolism
Mcavernosa21552	Lipid transport and metabolism
Mcavernosa08287	
Mcavernosa21572	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa14239	
Mcavernosa23889	Replication, recombination and repair
Mcavernosa33019	Cell cycle control, cell division, chromosome partitioning
Mcavernosa06587	
Mcavernosa28775	Secondary metabolites biosynthesis, transport and catabolism
Mcavernosa19196	Signal transduction mechanisms
Mcavernosa08636	Transcription
Mcavernosa21962	Posttranslational modification, protein turnover, chaperones
Mcavernosa00535	
Mcavernosa05635	Translation, ribosomal structure and biogenesis
Mcavernosa10417	Transcription
Mcavernosa15179	
Mcavernosa33528	Inorganic ion transport and metabolism
Mcavernosa05918	Carbohydrate transport and metabolism
Mcavernosa09646	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa12556	Signal transduction mechanisms
Mcavernosa30782	Secondary metabolites biosynthesis, transport and catabolism
Mcavernosa10632	Signal transduction mechanisms
Mcavernosa20053	Signal transduction mechanisms
Mcavernosa34373	Translation, ribosomal structure and biogenesis
Mcavernosa10922	Posttranslational modification, protein turnover, chaperones
Mcavernosa31224	Translation, ribosomal structure and biogenesis
Mcavernosa18846	Replication, recombination and repair
Mcavernosa12281	Inorganic ion transport and metabolism
Mcavernosa17353	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa06792	Signal transduction mechanisms
Mcavernosa28776	
Mcavernosa16882	Inorganic ion transport and metabolism
Mcavernosa33884	Transcription
Mcavernosa00795	Translation, ribosomal structure and biogenesis
Mcavernosa00528	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa13202	RNA processing and modification
Mcavernosa06144	Signal transduction mechanisms
Mcavernosa00120	Transcription
Mcavernosa13225	Energy production and conversion
Mcavernosa22551	Lipid transport and metabolism
Mcavernosa19597	Amino acid transport and metabolism
Mcavernosa08584	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa28257	Lipid transport and metabolism
Mcavernosa08139	Transcription
Mcavernosa23959	Posttranslational modification, protein turnover, chaperones
Mcavernosa33463	Cell cycle control, cell division, chromosome partitioning
