Cladocopium283428	Phosphomethylpyrimidine synthase, chloroplastic OS=Arabidopsis thaliana GN=THIC PE=1 SV=1 E(blastx)=6e-71
Cladocopium218718	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Xenopus tropicalis GN=uap1l1 PE=2 SV=1 E(blastx)=1e-32
Cladocopium45613	Cysteine desulfurase, mitochondrial OS=Mus musculus GN=Nfs1 PE=2 SV=3 E(blastx)=6e-167
Cladocopium218953	Modification methylase NgoBI OS=Neisseria gonorrhoeae GN=ngoBIM PE=3 SV=2 E(blastx)=1e-10
Cladocopium269336	Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Danio rerio GN=pgam5 PE=2 SV=2 E(blastx)=1e-09
Cladocopium35073	D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Danio rerio GN=d2hgdh PE=2 SV=1 E(blastx)=2e-155
Cladocopium115605	UDP-glucuronosyltransferase 2B1 OS=Rattus norvegicus GN=Ugt2b1 PE=2 SV=1 E(blastx)=9e-20
Cladocopium96902	Probable serine/threonine-protein kinase dyrk2 OS=Dictyostelium discoideum GN=dyrk2 PE=3 SV=1 E(blastx)=7e-29
Cladocopium283502	Phosphoserine phosphatase OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) GN=AF_2138 PE=3 SV=1 E(blastx)=2e-18
Cladocopium198321	Serine/threonine-protein phosphatase T OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PPT1 PE=1 SV=1 E(blastx)=3e-29
Cladocopium114643	DnaJ protein ERDJ3B OS=Arabidopsis thaliana GN=ERDJ3B PE=1 SV=1 E(blastx)=3e-16
Cladocopium47942	Probable inactive leucine-rich repeat receptor-like protein kinase At1g66830 OS=Arabidopsis thaliana GN=At1g66830 PE=2 SV=1 E(blastx)=7e-12
Cladocopium291144	Bystin OS=Monosiga brevicollis GN=bysl PE=3 SV=1 E(blastx)=6e-106
Cladocopium249353	Apoptosis-inducing factor homolog B OS=Dictyostelium discoideum GN=aifB PE=3 SV=1 E(blastx)=7e-09
Cladocopium207538	LON peptidase N-terminal domain and RING finger protein 1 OS=Homo sapiens GN=LONRF1 PE=2 SV=2 E(blastx)=8e-18
Cladocopium207049	Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus GN=Acsf3 PE=2 SV=2 E(blastx)=6e-103
Cladocopium343671	Serine/threonine-protein kinase Nek2 OS=Homo sapiens GN=NEK2 PE=1 SV=1 E(blastx)=9e-24
Cladocopium274503	Probable tRNA-dihydrouridine synthase 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=dus2 PE=3 SV=1 E(blastx)=3e-58
Cladocopium175590	Ras-related protein Rab-1B OS=Dictyostelium discoideum GN=rab1B PE=2 SV=2 E(blastx)=5e-49
Cladocopium381405	Calretinin OS=Bos taurus GN=CALB2 PE=2 SV=1 E(blastx)=3e-07
Cladocopium119858	Tyrosine-specific transport protein OS=Shigella flexneri GN=tyrP PE=3 SV=1 E(blastx)=2e-17
Cladocopium217387	30S ribosomal protein S4, chloroplastic OS=Pseudendoclonium akinetum GN=rps4 PE=3 SV=1 E(blastx)=4e-25
Cladocopium352584	Serine hydroxymethyltransferase 4 OS=Arabidopsis thaliana GN=SHM4 PE=1 SV=1 E(blastx)=7e-65
Cladocopium114256	Probable nicotinate-nucleotide adenylyltransferase OS=Oceanobacillus iheyensis (strain DSM 14371 / JCM 11309 / KCTC 3954 / HTE831) GN=nadD PE=3 SV=1 E(blastx)=6e-21
Cladocopium273243	Transmembrane protein 145 OS=Mus musculus GN=Tmem145 PE=1 SV=1 E(blastx)=2e-05
Cladocopium367780	Putative quinone-oxidoreductase homolog, chloroplastic OS=Arabidopsis thaliana GN=At4g13010 PE=2 SV=1 E(blastx)=6e-23
Cladocopium248391	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 OS=Pongo abelii GN=POMGNT1 PE=2 SV=1 E(blastx)=6e-14
Cladocopium42195	Ethanolamine-phosphate cytidylyltransferase OS=Arabidopsis thaliana GN=PECT1 PE=1 SV=1 E(blastx)=1e-14
Cladocopium331818	Ras guanine nucleotide exchange factor W OS=Dictyostelium discoideum GN=gefW PE=2 SV=1 E(blastx)=6e-05
Cladocopium263868	Adenosine kinase OS=Physcomitrella patens subsp. patens GN=ADK PE=2 SV=1 E(blastx)=2e-129
Cladocopium282771	Phosphatidylinositol 4-phosphate 5-kinase 9 OS=Arabidopsis thaliana GN=PIP5K9 PE=1 SV=2 E(blastx)=2e-20
Cladocopium280169	HSPB1-associated protein 1 homolog OS=Danio rerio GN=hspbap1 PE=2 SV=2 E(blastx)=3e-08
Cladocopium199258	Mitogen-activated protein kinase kinase kinase YODA OS=Arabidopsis thaliana GN=YDA PE=1 SV=1 E(blastx)=1e-26
Cladocopium54949	50S ribosomal protein L16, chloroplastic OS=Chlorella vulgaris GN=rpl16 PE=3 SV=1 E(blastx)=3e-38
Cladocopium317540	AP-3 complex subunit beta-2 OS=Mus musculus GN=Ap3b2 PE=1 SV=2 E(blastx)=3e-42
Cladocopium117437	Isochorismatase family protein YecD OS=Escherichia coli (strain K12) GN=yecD PE=1 SV=2 E(blastx)=3e-12
Cladocopium35298	Acyl-protein thioesterase 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC8E11.04c PE=3 SV=1 E(blastx)=1e-14
Cladocopium185489	Polyadenylate-binding protein 8 OS=Arabidopsis thaliana GN=PAB8 PE=1 SV=1 E(blastx)=8e-28
Cladocopium50923	Zinc transporter foi OS=Drosophila melanogaster GN=foi PE=1 SV=3 E(blastx)=6e-16
Cladocopium192954	Voltage-dependent T-type calcium channel subunit alpha-1H OS=Rattus norvegicus GN=Cacna1h PE=2 SV=2 E(blastx)=1e-09
Cladocopium92104	Palmitoyltransferase erf2 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=ptr-2 PE=3 SV=1 E(blastx)=5e-09
Cladocopium323740	GTP pyrophosphokinase OS=Bacillus subtilis (strain 168) GN=relA PE=3 SV=3 E(blastx)=5e-61
Cladocopium57540	Fructose-1,6-bisphosphatase, cytosolic OS=Saccharum hybrid GN=CFBP PE=2 SV=2 E(blastx)=9e-113
Cladocopium182913	Kinesin-1 heavy chain OS=Rattus norvegicus GN=Kif5b PE=1 SV=1 E(blastx)=4e-27
Cladocopium25807	Tartrate-resistant acid phosphatase type 5 OS=Sus scrofa GN=ACP5 PE=1 SV=4 E(blastx)=3e-06
Cladocopium112899	Kelch-like protein 4 OS=Homo sapiens GN=KLHL4 PE=1 SV=2 E(blastx)=2e-23
Cladocopium79492	Phosphoethanolamine N-methyltransferase 1 OS=Arabidopsis thaliana GN=NMT1 PE=1 SV=1 E(blastx)=2e-92
Cladocopium195591	Pyrophosphate-energized vacuolar membrane proton pump 1 OS=Arabidopsis thaliana GN=AVP1 PE=1 SV=1 E(blastx)=1e-29
Cladocopium192567	GDP-mannose transporter GONST4 OS=Arabidopsis thaliana GN=GONST4 PE=2 SV=1 E(blastx)=4e-09
Cladocopium115579	Cation channel sperm-associated protein 1 OS=Mus musculus GN=Catsper1 PE=1 SV=1 E(blastx)=4e-06
Cladocopium172869	Pyruvate dehydrogenase [NADP(+)] OS=Cryptosporidium parvum GN=PFOR PE=2 SV=1 E(blastx)=2e-44
Cladocopium113193	Inner membrane protein alx OS=Salmonella typhi GN=alx PE=3 SV=1 E(blastx)=3e-29
Cladocopium290890	Voltage-dependent L-type calcium channel subunit alpha-1S OS=Lithobates catesbeiana PE=2 SV=1 E(blastx)=7e-05
Cladocopium93971	Vacuolar fusion protein CCZ1 homolog OS=Gallus gallus GN=CCZ1 PE=2 SV=1 E(blastx)=2e-13
Cladocopium184941	Kinesin-like protein KIF14 OS=Mus musculus GN=Kif14 PE=1 SV=1 E(blastx)=3e-52
Cladocopium280416	Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic OS=Zea mays GN=AKHSDH2 PE=2 SV=1 E(blastx)=1e-52
Cladocopium19920	Protein IMPACT OS=Xenopus laevis GN=impact PE=2 SV=1 E(blastx)=6e-27
Cladocopium155777	Probable serine/threonine-protein kinase nek1 OS=Dictyostelium discoideum GN=nek1 PE=3 SV=1 E(blastx)=6e-18
Cladocopium35007	Melibiose carrier protein OS=Klebsiella pneumoniae GN=melB PE=3 SV=1 E(blastx)=3e-09
Cladocopium118514	Protein arginine N-methyltransferase PRMT10 OS=Arabidopsis thaliana GN=PRMT10 PE=1 SV=1 E(blastx)=6e-113
Cladocopium259911	Granule-bound starch synthase 1, chloroplastic/amyloplastic OS=Pisum sativum PE=1 SV=1 E(blastx)=3e-101
