query	qlen.bp	qtrans.aa	hit	hlen.aa
Cladocopium259540	1846	202	sp|P28188|RAD2A_ARATH	203
Cladocopium259540	1821	202	sp|P28188|RAD2A_ARATH	203
Cladocopium259617	1873	366	sp|Q5N725|ALFC3_ORYSJ	358
Cladocopium259617	1696	366	sp|Q5N725|ALFC3_ORYSJ	358
Cladocopium259617	780	116	sp|P17784|ALFC1_ORYSJ	358
Cladocopium259617	593	62	sp|P29356|ALF_SPIOL	357
Cladocopium259629	1497	332	sp|O09452|G3PA_GUITH	386
Cladocopium259647	4249	197	sp|Q8TF66|LRC15_HUMAN	581
Cladocopium259654	982	57	sp|Q8R1C0|KCNC4_MOUSE	628
Cladocopium259723	4967	384	sp|Q5VQL1|RH14_ORYSJ	708
Cladocopium259723	4604	366	sp|Q56Y85|MAP22_ARATH	439
Cladocopium259777	1287	79	sp|Q96NW4|ANR27_HUMAN	1050
Cladocopium259777	1302	79	sp|Q96NW4|ANR27_HUMAN	1050
Cladocopium259777	1167	79	sp|Q96NW4|ANR27_HUMAN	1050
Cladocopium259911	2533	523	sp|O82627|SSG1_ANTMA	608
Cladocopium259911	2563	523	sp|O82627|SSG1_ANTMA	608
Cladocopium259911	1013	137	sp|Q43784|SSG1_MANES	608
Cladocopium259911	2477	453	sp|Q43784|SSG1_MANES	608
Cladocopium259911	2507	453	sp|Q43784|SSG1_MANES	608
Cladocopium259911	1679	304	sp|Q0DEV5|SSG1_ORYSJ	609
Cladocopium259911	1709	304	sp|Q0DEV5|SSG1_ORYSJ	609
Cladocopium259912	2144	115	sp|P07949|RET_HUMAN	1114
Cladocopium259912	2138	115	sp|P07949|RET_HUMAN	1114
Cladocopium259912	2149	115	sp|P07949|RET_HUMAN	1114
Cladocopium259912	2155	115	sp|P07949|RET_HUMAN	1114
Cladocopium259929	1253	325	sp|Q148K0|TCEA2_BOVIN	300
Cladocopium259982	5853	468	sp|O94762|RECQ5_HUMAN	991
Cladocopium259982	6044	468	sp|O94762|RECQ5_HUMAN	991
Cladocopium259985	2937	223	sp|Q58D06|WDR74_BOVIN	385
Cladocopium260054	8988	962	sp|A8J1V4|CFA44_CHLRE	1764
Cladocopium260133	1454	152	sp|P0C6B8|SVEP1_RAT	3564
Cladocopium260133	1207	158	sp|P0C6B8|SVEP1_RAT	3564
Cladocopium260133	1341	152	sp|A2AVA0|SVEP1_MOUSE	3567
Cladocopium260135	2902	365	sp|Q92462|PUB1_SCHPO	767
Cladocopium260353	1514	411	sp|Q99385|VCX1_YEAST	411
Cladocopium260378	1763	414	sp|P27115|MGAT1_RABIT	447
Cladocopium260441	779	164	sp|Q9Y818|UBC15_SCHPO	167
Cladocopium260441	1003	287	sp|Q5RE15|PSMD8_PONAB	289
Cladocopium260471	2215	578	sp|Q940S0|TMN2_ARATH	592
Cladocopium260610	2729	648	sp|P46837|YHGF_ECOLI	773
Cladocopium260780	1866	451	sp|Q9FZE1|UGDH1_ARATH	481
Cladocopium260780	11855	3878	sp|Q9NJ15|PCSK5_BRACL	1696
Cladocopium260780	1857	451	sp|Q9FZE1|UGDH1_ARATH	481
Cladocopium260780	1513	428	sp|Q2QS13|UGDH5_ORYSJ	480
Cladocopium260780	1481	417	sp|Q2QS13|UGDH5_ORYSJ	480
Cladocopium260780	4553	1126	sp|Q04592|PCSK5_MOUSE	1877
Cladocopium260780	8718	2640	sp|Q92824|PCSK5_HUMAN	1860
Cladocopium260780	1445	405	sp|Q2QS13|UGDH5_ORYSJ	480
Cladocopium260780	8711	2642	sp|Q9NJ15|PCSK5_BRACL	1696
Cladocopium260780	11819	3866	sp|Q9NJ15|PCSK5_BRACL	1696
Cladocopium260780	11790	3876	sp|Q04592|PCSK5_MOUSE	1877
Cladocopium260780	11826	3888	sp|Q92824|PCSK5_HUMAN	1860
Cladocopium260780	8747	2642	sp|Q9NJ15|PCSK5_BRACL	1696
Cladocopium260780	8682	2640	sp|Q92824|PCSK5_HUMAN	1860
Cladocopium260780	4589	1148	sp|Q92824|PCSK5_HUMAN	1860
Cladocopium260780	1477	416	sp|Q2QS13|UGDH5_ORYSJ	480
Cladocopium260780	2402	353	sp|Q9UTN2|YII1_SCHPO	802
Cladocopium260804	1305	172	sp|Q54GS1|CL16A_DICDI	1550
Cladocopium260804	1299	164	sp|Q8W4P9|TT9_ARATH	837
Cladocopium260879	684	174	sp|Q8TWG0|NPD_METKA	250
Cladocopium260957	3902	470	sp|Q9UBS5|GABR1_HUMAN	961
Cladocopium260957	4439	470	sp|Q9UBS5|GABR1_HUMAN	961
Cladocopium260957	4759	470	sp|Q9UBS5|GABR1_HUMAN	961
