isogroup283428	sp|O82392|THIC_ARATH	4e-72
isogroup45613	sp|Q9Z1J3|NFS1_MOUSE	1e-168
isogroup426588	sp|Q8AV58|SDK1_CHICK	3e-10
isogroup1422	sp|Q07352|TISB_HUMAN	4e-41
isogroup218953	sp|Q59603|MTB1_NEIGO	1e-10
isogroup269336	sp|Q502L2|PGAM5_DANRE	1e-09
isogroup40877	sp|Q9LSE4|CCB1_ARATH	4e-24
isogroup96902	sp|Q54BC9|DYRK2_DICDI	7e-29
isogroup421074	sp|Q640F2|SHCBB_XENLA	2e-25
isogroup283502	sp|O28142|SERB_ARCFU	2e-18
isogroup60459	sp|Q64259|VHL_RAT	7e-14
isogroup95867	sp|Q8C1A9|ABD18_MOUSE	1e-102
isogroup229033	sp|Q25452|CAC1M_MUSDO	4e-05
isogroup39702	sp|Q5F389|WWOX_CHICK	1e-86
isogroup147135	sp|Q25188|OAR_HELVI	3e-11
isogroup7524	sp|Q32LC7|G3BP1_BOVIN	5e-35
isogroup7063	sp|P52551|MYBB_XENLA	4e-91
isogroup291144	sp|A9UNU6|BYST_MONBE	2e-107
isogroup250961	sp|O02751|CFDP2_BOVIN	8e-17
isogroup72756	sp|Q9H4G4|GAPR1_HUMAN	1e-25
isogroup207538	sp|D3YY23|LONF1_MOUSE	7e-18
isogroup207049	sp|Q3URE1|ACSF3_MOUSE	2e-104
isogroup243045	sp|Q9VJJ7|TRPG_DROME	1e-09
isogroup343671	sp|P51955|NEK2_HUMAN	6e-24
isogroup270030	sp|A7E2V1|CEP76_DANRE	3e-21
isogroup175590	sp|P34140|RAB1B_DICDI	1e-49
isogroup98918	sp|Q6R520|CALM_OREMO	3e-56
isogroup173820	sp|P08548|LIN1_NYCCO	1e-14
isogroup639529	sp|Q05793|PGBM_MOUSE	7e-13
isogroup119858	sp|P0AAD5|TYRP_SHIFL	2e-17
isogroup583020	sp|P0C7U4|C3AR_DANRE	1e-07
isogroup611308	sp|Q9P215|POGK_HUMAN	1e-10
isogroup217387	sp|Q3ZJ39|RR4_PSEAK	2e-25
isogroup352584	sp|O23254|GLYC4_ARATH	3e-66
isogroup385458	sp|A7SNN9|QSPP_NEMVE	2e-23
isogroup106803	sp|Q4R0J7|ARD1_UROFA	3e-39
isogroup273243	sp|Q8C4U2|TM145_MOUSE	2e-05
isogroup34392	sp|Q5ZMS6|TDRD3_CHICK	2e-57
isogroup367780	sp|Q9AYU1|QR1_TRIVS	1e-23
isogroup311386	sp|Q8NFZ3|NLGNY_HUMAN	3e-21
isogroup130692	sp|Q61586|GPAT1_MOUSE	1e-16
isogroup54510	sp|O08746|MATN2_MOUSE	4e-52
isogroup331818	sp|Q55GH9|GEFW_DICDI	6e-05
isogroup263868	sp|O49923|ADK_PHYPA	4e-131
isogroup199258	sp|Q9CAD5|YODA_ARATH	1e-26
isogroup280169	sp|P41386|TBB_HALDI	9e-49
isogroup54949	sp|P56364|RK16_CHLVU	3e-39
isogroup317540	sp|Q556J8|AP3B_DICDI	4e-43
isogroup4460	sp|Q8IYR2|SMYD4_HUMAN	3e-68
isogroup121911	sp|O15439|MRP4_HUMAN	5e-52
isogroup35298	sp|O42881|APTH1_SCHPO	5e-15
isogroup185489	sp|Q9FXA2|PABP8_ARATH	7e-28
isogroup192954	sp|Q9EQ60|CAC1H_RAT	1e-09
isogroup17476	sp|Q923D5|WBP11_MOUSE	3e-14
isogroup91143	sp|F1R983|CTIP_DANRE	4e-21
isogroup606914	sp|Q9UNY5|ZN232_HUMAN	1e-25
isogroup182913	sp|Q2PQA9|KINH_RAT	8e-28
isogroup125495	sp|O02751|CFDP2_BOVIN	5e-53
isogroup25807	sp|P09889|PPA5_PIG	3e-06
isogroup24689	sp|A8DYE2|TRPCG_DROME	3e-18
isogroup67789	sp|Q3T1J2|MBOA2_RAT	3e-33
isogroup195591	sp|P31414|AVP1_ARATH	3e-30
isogroup115579	sp|Q91ZR5|CTSR1_MOUSE	4e-06
isogroup42399	sp|Q5VW32|BROX_HUMAN	2e-139
isogroup290890	sp|O57483|CAC1S_LITCT	7e-05
isogroup206542	sp|E2JA28|DDAC_ENTAG	1e-24
isogroup265518	sp|P20825|POL2_DROME	5e-08
isogroup184941	sp|L0N7N1|KIF14_MOUSE	3e-52
isogroup432448	sp|Q9QYS2|GRM3_MOUSE	9e-45
isogroup136967	sp|B4LVU6|PDE6_DROVI	5e-114
isogroup19920	sp|Q9W625|IMPCT_XENLA	3e-27
isogroup129992	sp|Q6XD76|ASCL4_HUMAN	3e-15
isogroup121556	sp|A2ASS6|TITIN_MOUSE	2e-08
isogroup116834	sp|O75179|ANR17_HUMAN	1e-23
isogroup16609	sp|Q5R778|ACD11_PONAB	5e-156
isogroup290194	sp|O70507|HCN4_MOUSE	4e-11
isogroup112642	sp|Q96E11|RRFM_HUMAN	5e-26
isogroup312967	sp|Q9YGL9|AT2A3_CHICK	2e-145
isogroup41540	sp|Q56WH4|HDT2_ARATH	2e-05
isogroup21018	sp|Q49W60|2NPD_STAS1	4e-37
isogroup20266	sp|Q6Q1P4|SMC1_ARATH	3e-45
isogroup60634	sp|O93209|POL_FFV	7e-13
isogroup18786	sp|Q9H0X9|OSBL5_HUMAN	4e-150
isogroup291561	sp|Q9SA18|AKH1_ARATH	2e-57
isogroup10925	sp|P62332|ARF6_RAT	7e-116
isogroup13672	sp|Q99K70|RRAGC_MOUSE	4e-174
isogroup283126	sp|Q83RI9|CSPC_SHIFL	6e-05
isogroup276065	sp|Q07282|TCR5_ECOLX	1e-14
isogroup4023	sp|P54726|RD23A_MOUSE	9e-77
isogroup227225	sp|Q9LIG0|Y3136_ARATH	5e-09
isogroup709506	sp|Q5R7B8|KLH20_PONAB	7e-08
isogroup112130	sp|Q9ERQ8|CAH7_MOUSE	1e-42
isogroup231740	sp|Q9SIC9|PP178_ARATH	2e-23
isogroup111732	sp|Q9ZU35|AB7G_ARATH	2e-63
isogroup182121	sp|Q8LEV3|Y2060_ARATH	2e-05
isogroup120173	sp|P73387|YC60L_SYNY3	5e-12
isogroup297220	sp|Q9LVQ8|P2C80_ARATH	2e-25
isogroup20356	sp|Q5RBW6|STX12_PONAB	1e-31
isogroup273347	sp|Q8ZH36|DKGB_YERPE	2e-35
isogroup106747	sp|Q9D8X1|CUTC_MOUSE	6e-102
isogroup310740	sp|P04062|GLCM_HUMAN	7e-23
isogroup167084	sp|P28634|TRMO_ECOLI	1e-26
isogroup119561	sp|A1ZAY1|DLISH_DROME	3e-15
isogroup142504	sp|A8MTY0|ZN724_HUMAN	5e-55
isogroup60563	sp|Q8TA86|RP9_HUMAN	3e-40
isogroup1238	sp|P08582|TRFM_HUMAN	6e-76
isogroup272619	sp|Q9Y5N5|HEMK2_HUMAN	3e-21
isogroup284712	sp|Q9BTN0|LRFN3_HUMAN	9e-08
isogroup121891	sp|Q6AY43|DC2L1_RAT	2e-46
isogroup409453	sp|P70699|LYAG_MOUSE	5e-09
isogroup46185	sp|O74311|NAA30_SCHPO	4e-05
isogroup27340	sp|P31029|SPYA_CALJA	4e-44
isogroup91496	sp|P54357|MLC2_DROME	9e-18
isogroup318600	sp|P41041|CALM_PNECA	2e-29
isogroup54246	sp|Q5TCS8|KAD9_HUMAN	1e-57
isogroup154285	sp|Q803C1|RNF8_DANRE	3e-06
isogroup196244	sp|Q4V9P0|SAMC_DANRE	6e-68
isogroup38233	sp|Q9Y4C8|RBM19_HUMAN	9e-50
isogroup147520	sp|Q5REB9|MTMR2_PONAB	1e-80
isogroup99378	sp|Q99999|G3ST1_HUMAN	3e-50
isogroup169799	sp|B3PCM8|RSMH_CELJU	1e-33
isogroup9363	sp|P00377|DYR_PIG	2e-55
isogroup23197	sp|Q91770|NOT2_XENLA	7e-19
isogroup35014	sp|A8K8P3|SFI1_HUMAN	5e-65
isogroup78187	sp|Q9TW28|MYOM_DICDI	1e-08
isogroup217103	sp|C0SPB2|YWTG_BACSU	5e-22
isogroup80176	sp|A6SY74|CLPP_JANMA	3e-83
isogroup287207	sp|Q12955|ANK3_HUMAN	5e-13
isogroup292549	sp|P19320|VCAM1_HUMAN	5e-13
isogroup225598	sp|Q8RWL6|STY17_ARATH	2e-53
isogroup286984	sp|Q9UL51|HCN2_HUMAN	5e-09
isogroup223546	sp|Q8K268|ABCF3_MOUSE	1e-137
isogroup53019	sp|Q09734|MIP_TRYCR	5e-26
isogroup280182	sp|Q25330|CKS1_LEIME	6e-19
isogroup174860	sp|Q13277|STX3_HUMAN	1e-23
isogroup31353	sp|P54816|TBP7_CAEEL	1e-143
isogroup20370	sp|Q8WY64|MYLIP_HUMAN	7e-126
isogroup180341	sp|P84466|ERG7_BOVIN	6e-91
isogroup21324	sp|Q55E31|RB32B_DICDI	6e-80
isogroup70938	sp|P19487|GUNA_XANCP	4e-06
isogroup67569	sp|Q9CR11|YETS4_MOUSE	2e-54
isogroup130301	sp|Q96DM1|PGBD4_HUMAN	3e-56
isogroup266491	sp|O52065|DNAJ_MANHA	3e-08
isogroup404280	sp|P22413|ENPP1_HUMAN	3e-16
isogroup539	sp|Q64739|COBA2_MOUSE	1e-25
isogroup41143	sp|P38657|PDIA3_BOVIN	8e-20
