comp3230_c3_seq244	Low-density lipoprotein receptors containing Ca2+-binding EGF-like domains
comp19709_c0_seq5	mRNA splicing factor
comp1167_c4_seq150	Cytochrome P450 CYP4/CYP19/CYP26 subfamilies
comp4766_c1_seq60	Xanthine dehydrogenase
comp12877_c1_seq3	RNA polymerase II, second largest subunit
comp22094_c0_seq40	Sodium-neurotransmitter symporter
comp2127_c0_seq4	Glutamate/aspartate and neutral amino acid transporters
comp26958_c1_seq33	Endocytosis protein RME-8, contains DnaJ domain
comp11815_c0_seq149	Helicases
comp22604_c0_seq27	Apoptosis inhibitor IAP1 and related BIR domain proteins
comp294_c2_seq59	Microtubule-associated protein dynactin DCTN1/Glued
comp205751_c0_seq1	Protein required for S-phase initiation or completion
comp35897_c0_seq11	Cytoskeleton-associated protein and related proteins
comp22109_c0_seq13	DEAH-box RNA helicase
comp9840_c0_seq4	20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1
comp45554_c0_seq2	Inosine triphosphate pyrophosphatase
comp23981_c0_seq8	Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT1/GOT2
comp201063_c0_seq1	5,10-methylenetetrahydrofolate reductase
comp12676_c0_seq14	Neural cell adhesion molecule L1
comp198_c0_seq1	Glutamine synthetase
comp1434_c0_seq1	Collagens (type XV)
comp14033_c1_seq4	Leucine-rich repeat (LRR) protein, contains calponin homology domain
comp1167_c4_seq114	RNA polymerase III, large subunit
comp21444_c0_seq10	Membrane trafficking and cell signaling protein HRS, contains VHS and FYVE domains
comp28539_c0_seq14	STAT protein
comp32030_c0_seq16	Cactin
comp42100_c0_seq7	GTPase Rab5/YPT51 and related small G protein superfamily GTPases
comp12069_c0_seq26	Gamma-glutamyltransferase
comp35647_c0_seq17	Ribosomal protein S6 kinase and related proteins
comp137267_c0_seq1	Glycosylphosphatidylinositol anchor synthesis protein
comp26906_c0_seq1	Transcription factor SIX and related HOX domain proteins
comp6041_c0_seq38	Neural cell adhesion molecule L1
comp49463_c1_seq24	Protein tyrosine phosphatase
comp53389_c0_seq1	GTPase Rab1/YPT1, small G protein superfamily, and related GTP-binding proteins
comp53083_c0_seq14	Monocarboxylate transporter
comp181975_c0_seq1	Kinesin light chain
comp7157_c0_seq21	Ubiquitin carboxyl-terminal hydrolase
comp92697_c0_seq1	Molecular chaperones HSP70/HSC70, HSP70 superfamily
comp10419_c1_seq12	Chimaerin and related Rho GTPase activating proteins
comp15741_c0_seq9	Vacuolar assembly/sorting proteins VPS39/VAM6/VPS3
comp40413_c0_seq7	H+/oligopeptide symporter
comp109163_c0_seq7	Beta, beta-carotene 15,15'-dioxygenase and related enzymes
comp16419_c0_seq11	Ubiquitin C-terminal hydrolase
comp16936_c0_seq24	Amine oxidase
comp18951_c0_seq17	Sodium sulfate symporter and related arsenite permeases
comp16708_c1_seq11	Ubiquitin-specific protease UBP14
comp47281_c0_seq1	Armadillo/beta-Catenin/plakoglobin
comp56164_c0_seq5	Muscarinic acetylcholine receptor
comp307043_c0_seq1	E3 ubiquitin ligase, VHL component (von Hippel-Lindau tumor suppressor in humans)
comp22035_c0_seq2	Mitochondrial/chloroplast ribosomal protein S2
comp94345_c0_seq3	Mitochondrial/chloroplast DNA-directed RNA polymerase RPO41, provides primers for DNA replication-initiation
comp77910_c0_seq1	Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily
comp414308_c0_seq1	Ornithine decarboxylase
comp18261_c0_seq8	Extracellular matrix glycoprotein Laminin subunit beta
comp3209_c0_seq10	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
comp70387_c0_seq6	Lysine-ketoglutarate reductase/saccharopine dehydrogenase
comp1507_c0_seq24	RNA helicase nonsense mRNA reducing factor (pNORF1)
comp1507_c0_seq24	Exosomal 3'-5' exoribonuclease complex, subunit Rrp44/Dis3
comp4766_c1_seq85	Xanthine dehydrogenase
comp40918_c0_seq16	Extracellular matrix glycoprotein Laminin subunit beta
comp19108_c0_seq12	Nuclear pore complex, Nup155 component (D Nup154, sc Nup157/Nup170)
comp34891_c0_seq9	DNA repair protein
comp7590_c0_seq2	Mitochondrial chaperonin
comp100179_c0_seq1	Neurexin IV
comp119077_c0_seq1	G protein-coupled receptor
comp15267_c0_seq88	Oxoprolinase
comp36269_c0_seq1	NAD+ ADP-ribosyltransferase Parp, required for poly-ADP ribosylation of nuclear proteins
comp36269_c0_seq1	Nucleotide excision repair factor NEF2, RAD4/CUT5 component
comp28514_c0_seq1	Hepatocyte nuclear factor 4 and similar steroid hormone receptors
comp24251_c0_seq20	Mitochondrial oxoglutarate/malate carrier proteins
comp69633_c0_seq1	U1-like Zn-finger-containing protein, probabl erole in RNA processing/splicing
comp11815_c0_seq88	Helicases
comp31239_c0_seq4	L-type voltage-dependent Ca2+ channel, alpha2/delta subunit
comp6786_c0_seq34	Multidomain protein, contains SPEC repeats, PH, SH3, and separate rac-specific and rho-specific guanine nucleotide exchange factor domains
comp366_c2_seq6	ATP-dependent RNA helicase
comp21393_c0_seq2	Mitotic spindle checkpoint protein
comp18550_c0_seq24	RNA helicase nonsense mRNA reducing factor (pNORF1)
comp13259_c0_seq7	GPI transamidase complex, GPI17/PIG-S component, involved in glycosylphosphatidylinositol anchor biosynthesis
comp15786_c0_seq12	Tyrosine kinase, EPH (ephrin) receptor family
comp3984_c0_seq5	BPI/LBP/CETP family protein
comp64532_c0_seq4	Halotolerance protein HAL3 (contains flavoprotein domain)
comp5095_c0_seq166	Helicases
comp3230_c3_seq202	Low-density lipoprotein receptors containing Ca2+-binding EGF-like domains
comp582806_c0_seq1	Nuclear pore complex, Nup88/rNup84 component
comp212533_c0_seq1	RNA 3'-terminal phosphate cyclase
comp118157_c0_seq1	Methyl-CpG binding transcription regulators
comp454198_c0_seq1	H+/oligopeptide symporter
comp6121_c0_seq1	Small nuclear ribonucleoprotein (snRNP)
comp7695_c0_seq15	Amine oxidase
comp3871_c1_seq123	Glutaminyl-tRNA synthetase
comp135178_c0_seq1	Subtilisin-like proprotein convertase
comp11803_c0_seq1	Casein kinase II, beta subunit
comp15282_c1_seq1	Permease of the major facilitator superfamily
comp1205_c0_seq26	Neural cell adhesion molecule L1
comp15935_c0_seq5	DNA-dependent protein kinase
comp126190_c0_seq2	Predicted E3 ubiquitin ligase
comp24251_c0_seq23	Mitochondrial oxoglutarate/malate carrier proteins
comp13829_c0_seq11	Caspase, apoptotic cysteine protease
comp13666_c0_seq2	Phenylalanine and histidine ammonia-lyase
comp9376_c0_seq2	Alternative splicing factor SRp20/9G8 (RRM superfamily)
comp94032_c0_seq1	Dynein light chain
comp126629_c0_seq1	Gamma-glutamyltransferase
comp23569_c0_seq2	Nuclear hormone receptor betaFTZ-F1
comp22913_c0_seq62	Peptidylglycine alpha-amidating monooxygenase
comp199199_c0_seq1	Uncharacterized conserved protein, contains JmjC domain
comp27982_c0_seq1	Amino acid transporter protein
comp2453_c1_seq1	Acetylcholinesterase/Butyrylcholinesterase
comp40469_c0_seq1	Phosphoenolpyruvate carboxykinase
comp3230_c3_seq86	Trypsin
comp3230_c3_seq86	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
comp791_c2_seq71	Neural cell adhesion molecule L1
comp24811_c0_seq3	ATP-dependent RNA helicase
comp22094_c0_seq17	Sodium-neurotransmitter symporter
comp9683_c0_seq44	Nuclear protein export factor
comp83619_c0_seq1	Mitofusin 1 GTPase, involved in mitochondrila biogenesis
comp4172_c0_seq76	Receptor mediating netrin-dependent axon guidance
comp22312_c0_seq5	Subtilisin-like proprotein convertase
comp47829_c0_seq11	Exostosin EXT1L
comp101747_c0_seq2	Short-chain alcohol dehydrogenase/3-hydroxyacyl-CoA dehydrogenase
comp252_c0_seq1	40s ribosomal protein S26
comp6052_c2_seq2	Glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits, G-protein coupled receptor superfamily
comp354967_c0_seq1	Voltage-gated K+ channel KCNB/KCNC
comp48027_c0_seq2	Adenylate kinase
comp37169_c0_seq20	Nuclear transport receptor exportin 4 (importin beta superfamily)
comp18734_c0_seq4	RNA polymerase III, second largest subunit
comp8833_c0_seq1	20S proteasome, regulatory subunit beta type PSMB3/PUP3
comp51170_c0_seq1	Ribosomal protein S5
comp8254_c0_seq1	Vacuolar H+-ATPase V1 sector, subunit G
comp25014_c0_seq19	Guanine nucleotide exchange factor
comp107445_c0_seq2	Rab GTPase interacting factor, Golgi membrane protein
comp35018_c0_seq2	ER-Golgi vesicle-tethering protein p115
comp8265_c1_seq101	Neurexin IV
comp21145_c0_seq16	ATPase component of ABC transporters with duplicated ATPase domains/Translation elongation factor EF-3b
comp6532_c0_seq2	MORC family ATPases
comp16729_c0_seq15	Neural cell adhesion molecule L1
comp9486_c0_seq5	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes
comp12799_c0_seq2	Nuclear DEAF-1 related transcriptional regulator (suppressin) and related SAND domain proteins
comp84415_c0_seq1	Nidogen and related basement membrane protein proteins
comp26318_c0_seq15	Gamma-glutamylcysteine synthetase
comp33412_c0_seq7	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
comp198693_c0_seq1	Beta-glucosidase, lactase phlorizinhydrolase, and related proteins
comp123119_c0_seq2	Adaptor protein NUB1, contains UBA domain
comp30869_c0_seq2	Glyoxylate/hydroxypyruvate reductase (D-isomer-specific 2-hydroxy acid dehydrogenase superfamily)
comp34715_c0_seq13	Monocarboxylate transporter
comp17063_c0_seq2	G protein-coupled receptor
comp11953_c0_seq5	Pyridoxamine-phosphate oxidase
comp49733_c0_seq3	K+-channel KCNQ
comp41410_c0_seq4	Serine/threonine protein kinase, contains leucine zipper domain
comp98946_c0_seq1	Smoothened and related G-protein-coupled receptors
comp40735_c0_seq1	Transcription-coupled repair protein CSB/RAD26 (contains SNF2 family DNA-dependent ATPase domain)
comp4164_c0_seq25	Neurexin IV
comp59197_c0_seq13	Amino acid transporters
comp99616_c0_seq2	Cytidine deaminase
comp9038_c0_seq13	E3 ubiquitin protein ligase
comp112303_c0_seq1	Mitochondrial ribosomal protein L9
comp34460_c0_seq3	Protein phosphatase 2A regulatory subunit A and related proteins
comp400798_c0_seq1	Predicted RNA-binding protein containing PIN domain and invovled in translation or RNA processing
comp19373_c0_seq2	Ypt/Rab-specific GTPase-activating protein GYP7 and related proteins
comp11072_c0_seq16	Chromodomain-helicase DNA-binding protein
comp3535_c0_seq1	Deoxyribodipyrimidine photolyase/cryptochrome
comp1078_c4_seq192	Aldehyde dehydrogenase
comp6532_c0_seq31	MORC family ATPases
comp157298_c0_seq1	Ca2+/Mg2+-permeable cation channels (LTRPC family)
comp65603_c0_seq4	Subtilisin-like proprotein convertase
comp531798_c0_seq1	Predicted RNA-binding protein containing PIN domain and invovled in translation or RNA processing
comp27486_c0_seq13	Molecular chaperone (DnaJ superfamily)
comp16729_c0_seq28	Neural cell adhesion molecule L1
comp292547_c0_seq1	Predicted G-alpha GTPase interaction protein, contains GoLoco domain
comp382_c3_seq40	dsRNA-specific nuclease Dicer and related ribonucleases
comp28110_c0_seq4	Metalloproteinase-related collagenase pM5
comp26958_c0_seq36	Endocytosis protein RME-8, contains DnaJ domain
comp2619_c6_seq27	Tyrosine kinases
comp498139_c0_seq2	C2H2-type Zn-finger protein
comp116349_c0_seq1	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes
comp22789_c0_seq22	Predicted regulator of rRNA gene transcription (MYB-binding protein)
comp855_c0_seq72	Netrin transmembrane receptor unc-5
comp48252_c0_seq3	Mitochondrial endonuclease
comp9602_c0_seq4	Protein tyrosine phosphatase PTPMEG, contains FERM domain
comp9317_c0_seq14	Helicases
comp11246_c0_seq21	Regucalcin gene promoter region-related protein (RGPR)
comp104760_c0_seq4	Trypsin
comp24492_c0_seq2	DNA polymerase alpha-primase complex, polymerase-associated subunit B
comp142504_c0_seq1	C2H2-type Zn-finger protein
comp695_c8_seq383	Predicted E3 ubiquitin ligase
comp212145_c0_seq1	DNA-binding centromere protein B (CENP-B)
comp4766_c1_seq64	Xanthine dehydrogenase
comp1163_c0_seq3	Anaphase-promoting complex (APC), subunit 10
comp13382_c0_seq13	Nidogen and related basement membrane protein proteins
comp412653_c0_seq1	NADH dehydrogenase subunit 3 and related proteins
comp130591_c0_seq1	AAA+-type ATPase
comp236278_c0_seq1	Tandem pore domain K+ channel TASK3/THIK-1
comp472141_c0_seq1	tRNA delta(2)-isopentenylpyrophosphate transferase
comp15487_c0_seq5	mRNA export factor TAP/MEX67
comp18550_c0_seq19	RNA helicase nonsense mRNA reducing factor (pNORF1)
comp1243_c0_seq16	Tryptophan 2,3-dioxygenase
comp520846_c0_seq1	Predicted G-alpha GTPase interaction protein, contains GoLoco domain
comp8265_c1_seq170	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
comp229675_c0_seq1	60S ribosomal protein L44
comp41268_c0_seq2	Glutathione S-transferase
comp9528_c0_seq2	Alpha-macroglobulin
comp39129_c0_seq24	Uncharacterized conserved protein, contains laminin, cadherin and EGF domains
comp288675_c0_seq1	Transcription-coupled repair protein CSB/RAD26 (contains SNF2 family DNA-dependent ATPase domain)
comp25756_c0_seq2	Ankyrin
comp12877_c0_seq5	RNA polymerase II, second largest subunit
comp14604_c0_seq2	Predicted UDP-galactose transporter
comp21691_c0_seq21	Molecular chaperones GRP170/SIL1, HSP70 superfamily
comp169895_c0_seq1	Gamma-glutamyltransferase
comp115025_c0_seq1	G protein-coupled receptors
comp232952_c0_seq1	M13 family peptidase
comp505220_c0_seq1	Cadherin EGF LAG seven-pass G-type receptor
comp514501_c0_seq1	NADP+-dependent malic enzyme
comp57804_c0_seq4	Myosin class II heavy chain
comp4169_c0_seq6	Glycogen phosphorylase
comp3581_c1_seq1	Extracellular matrix glycoprotein Laminin subunit beta
comp31920_c0_seq12	Transcriptional coactivator p100
comp82_c1_seq3	Ubiquitin/40S ribosomal protein S27a fusion
comp79499_c0_seq2	Receptor-activated Ca2+-permeable cation channels (STRPC family)
comp22450_c0_seq11	G protein signaling regulators
comp39562_c0_seq1	Putative SAM-dependent rRNA methyltransferase SPB1
comp263265_c0_seq1	Transcription factor PHOX2/ARIX, contains HOX domain
comp187842_c0_seq1	HMG-box transcription factor
comp55812_c0_seq1	Ankyrin
comp55812_c0_seq1	RNA-binding protein Bicaudal-C
comp24772_c0_seq6	Peptidylglycine alpha-amidating monooxygenase
comp11154_c0_seq9	Myosin class VI heavy chain
comp12959_c1_seq18	Kinesin-like protein
comp25079_c0_seq4	Synaptic vesicle protein BAIAP3, involved in vesicle priming/regulation
comp13715_c0_seq2	Polyadenylate-binding protein (RRM superfamily)
comp240209_c0_seq1	TNF receptor-associated factor
comp23776_c0_seq12	Predicted sugar transporter
comp43544_c0_seq5	Uncharacterized conserved protein, contains TBC domain
comp1859_c0_seq120	Myo-inositol-1-phosphate synthase
comp69913_c0_seq4	Voltage-gated Ca2+ channels, alpha1 subunits
comp537393_c0_seq1	Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily
comp24187_c0_seq4	VAMP-associated protein involved in inositol metabolism
comp16944_c0_seq24	RhoA GTPase effector DIA/Diaphanous
comp7796_c0_seq26	Multidrug/pheromone exporter, ABC superfamily
comp3560_c0_seq15	Collagens (type XV)
comp25043_c0_seq2	tRNA-specific adenosine deaminase 1
comp49463_c1_seq19	Protein tyrosine phosphatase
comp19069_c0_seq5	Gamma-glutamyltransferase
comp10687_c0_seq2	Interferon-related protein PC4 like
comp37163_c0_seq15	Cyclic nucleotide phosphodiesterase
comp13463_c0_seq10	Molybdopterin converting factor subunit 2
comp163288_c0_seq1	Disintegrin metalloproteinases with thrombospondin repeats
comp11642_c0_seq10	Anaphase promoting complex, Cdc20, Cdh1, and Ama1 subunits
comp13866_c0_seq2	Leucine-rich repeat (LRR) protein, contains calponin homology domain
comp12031_c0_seq4	Uncharacterized conserved protein, contains JmjC domain
comp294_c2_seq128	Microtubule-associated protein dynactin DCTN1/Glued
comp44114_c1_seq3	Predicted peptidyl-tRNA hydrolase
comp224845_c0_seq1	Glutamate-gated metabotropic ion channel receptor subunit GRM2 and related subunits, G-protein coupled receptor superfamily
comp305013_c0_seq1	Gamma-butyrobetaine,2-oxoglutarate dioxygenase
comp11467_c0_seq8	Alanine aminotransferase
comp134954_c0_seq2	40S ribosomal protein S15/S22
comp29005_c0_seq1	Rho-associated, coiled-coil containing protein kinase
comp22530_c0_seq60	Animal-type fatty acid synthase and related proteins
comp54731_c0_seq7	1, 2-alpha-mannosidase
