sym259617_c1_seq1	Carbohydrate transport and metabolism
sym259617_c1_seq2	Carbohydrate transport and metabolism
sym259617_c1_seq3	Carbohydrate transport and metabolism
sym259617_c1_seq5	Carbohydrate transport and metabolism
sym259629_c0_seq2	Carbohydrate transport and metabolism
sym259654_c1_seq5	Inorganic ion transport and metabolism
sym259723_c0_seq1	RNA processing and modification
sym259723_c0_seq2	Lipid transport and metabolism
sym259911_c1_seq1	Cell wall/membrane/envelope biogenesis
sym259911_c1_seq3	Cell wall/membrane/envelope biogenesis
sym259911_c1_seq4	Cell wall/membrane/envelope biogenesis
sym259911_c1_seq5	Cell wall/membrane/envelope biogenesis
sym259911_c1_seq6	Cell wall/membrane/envelope biogenesis
sym259911_c1_seq8	Cell wall/membrane/envelope biogenesis
sym259911_c1_seq9	Cell wall/membrane/envelope biogenesis
sym259912_c1_seq5	Signal transduction mechanisms
sym259912_c1_seq11	Signal transduction mechanisms
sym259912_c1_seq13	Signal transduction mechanisms
sym259912_c1_seq16	Signal transduction mechanisms
sym259929_c1_seq1	Transcription
sym259982_c0_seq3	Replication, recombination and repair
sym259982_c0_seq4	Replication, recombination and repair
sym259985_c1_seq3	
sym260135_c0_seq33	Posttranslational modification, protein turnover, chaperones
sym260353_c0_seq1	Inorganic ion transport and metabolism
sym260378_c0_seq1	Carbohydrate transport and metabolism
sym260441_c0_seq1	Posttranslational modification, protein turnover, chaperones
sym260441_c1_seq1	Posttranslational modification, protein turnover, chaperones
sym260610_c0_seq1	Transcription
sym260780_c0_seq1	Carbohydrate transport and metabolism
sym260780_c0_seq2	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq3	Carbohydrate transport and metabolism
sym260780_c0_seq4	Carbohydrate transport and metabolism
sym260780_c0_seq5	Carbohydrate transport and metabolism
sym260780_c0_seq8	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq11	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq12	Carbohydrate transport and metabolism
sym260780_c0_seq13	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq14	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq16	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq17	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq19	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq22	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq23	Posttranslational modification, protein turnover, chaperones
sym260780_c0_seq26	Carbohydrate transport and metabolism
sym260879_c1_seq2	Transcription
sym260957_c0_seq1	Signal transduction mechanisms
sym260957_c0_seq2	Signal transduction mechanisms
sym260957_c0_seq3	Signal transduction mechanisms
sym260957_c0_seq4	Signal transduction mechanisms
sym260957_c0_seq5	Signal transduction mechanisms
sym260957_c0_seq6	Signal transduction mechanisms
sym260992_c2_seq1	Signal transduction mechanisms
sym261010_c1_seq1	Amino acid transport and metabolism
sym261010_c1_seq4	Amino acid transport and metabolism
sym261010_c1_seq5	Amino acid transport and metabolism
sym261010_c1_seq6	Amino acid transport and metabolism
sym261010_c1_seq8	Amino acid transport and metabolism
sym261289_c0_seq1	Inorganic ion transport and metabolism
sym261289_c0_seq2	Inorganic ion transport and metabolism
sym261289_c0_seq3	Inorganic ion transport and metabolism
sym261298_c0_seq7	Cytoskeleton
sym261298_c0_seq8	Cytoskeleton
sym261298_c0_seq9	Cytoskeleton
sym261298_c0_seq11	Cytoskeleton
sym261515_c0_seq1	
sym261607_c1_seq1	Posttranslational modification, protein turnover, chaperones
sym261623_c0_seq1	Nucleotide transport and metabolism
sym261639_c0_seq1	Posttranslational modification, protein turnover, chaperones
sym261639_c1_seq2	Posttranslational modification, protein turnover, chaperones
sym261639_c1_seq3	Posttranslational modification, protein turnover, chaperones
sym261664_c0_seq4	Intracellular trafficking, secretion, and vesicular transport
sym261802_c0_seq1	Amino acid transport and metabolism
sym261819_c0_seq1	Cytoskeleton
sym261819_c0_seq4	Cytoskeleton
sym261911_c1_seq2	Posttranslational modification, protein turnover, chaperones
sym262007_c0_seq1	Posttranslational modification, protein turnover, chaperones
sym262007_c0_seq2	Posttranslational modification, protein turnover, chaperones
sym262007_c0_seq4	Posttranslational modification, protein turnover, chaperones
sym262103_c0_seq1	Signal transduction mechanisms
sym262103_c0_seq3	Signal transduction mechanisms
sym262103_c0_seq4	Signal transduction mechanisms
sym262103_c0_seq5	Signal transduction mechanisms
sym262103_c0_seq6	Inorganic ion transport and metabolism
sym262103_c0_seq7	Signal transduction mechanisms
