isogroup3230_c3_seq244	Signal transduction mechanisms
isogroup19709_c0_seq5	RNA processing and modification
isogroup4766_c1_seq60	Nucleotide transport and metabolism
isogroup12877_c1_seq3	Transcription
isogroup22094_c0_seq40	Signal transduction mechanisms
isogroup2127_c0_seq4	Amino acid transport and metabolism
isogroup11815_c0_seq149	Replication, recombination and repair
isogroup205751_c0_seq1	Cell cycle control, cell division, chromosome partitioning
isogroup22109_c0_seq13	RNA processing and modification
isogroup9840_c0_seq4	Posttranslational modification, protein turnover, chaperones
isogroup45554_c0_seq2	Nucleotide transport and metabolism
isogroup23981_c0_seq8	Amino acid transport and metabolism
isogroup201063_c0_seq1	Amino acid transport and metabolism
isogroup12676_c0_seq14	Signal transduction mechanisms
isogroup198_c0_seq1	Amino acid transport and metabolism
isogroup1434_c0_seq1	Extracellular structures
isogroup14033_c1_seq4	Cytoskeleton
isogroup1167_c4_seq114	Transcription
isogroup32030_c0_seq16	Signal transduction mechanisms
isogroup42100_c0_seq7	Intracellular trafficking, secretion, and vesicular transport
isogroup12069_c0_seq26	Amino acid transport and metabolism
isogroup137267_c0_seq1	Signal transduction mechanisms
isogroup26906_c0_seq1	Transcription
isogroup6041_c0_seq38	Signal transduction mechanisms
isogroup49463_c1_seq24	Signal transduction mechanisms
isogroup53083_c0_seq14	Carbohydrate transport and metabolism
isogroup181975_c0_seq1	Cytoskeleton
isogroup7157_c0_seq21	Posttranslational modification, protein turnover, chaperones
isogroup92697_c0_seq1	Posttranslational modification, protein turnover, chaperones
isogroup10419_c1_seq12	Signal transduction mechanisms
isogroup15741_c0_seq9	Intracellular trafficking, secretion, and vesicular transport
isogroup40413_c0_seq7	Amino acid transport and metabolism
isogroup109163_c0_seq7	Secondary metabolites biosynthesis, transport and catabolism
isogroup16419_c0_seq11	Posttranslational modification, protein turnover, chaperones
isogroup16936_c0_seq24	Secondary metabolites biosynthesis, transport and catabolism
isogroup18951_c0_seq17	Inorganic ion transport and metabolism
isogroup16708_c1_seq11	Posttranslational modification, protein turnover, chaperones
isogroup56164_c0_seq5	Signal transduction mechanisms
isogroup307043_c0_seq1	Posttranslational modification, protein turnover, chaperones
isogroup22035_c0_seq2	Translation, ribosomal structure and biogenesis
isogroup77910_c0_seq1	Secondary metabolites biosynthesis, transport and catabolism
isogroup414308_c0_seq1	Amino acid transport and metabolism
isogroup18261_c0_seq8	Extracellular structures
isogroup3209_c0_seq10	Signal transduction mechanisms
isogroup70387_c0_seq6	Amino acid transport and metabolism
isogroup1507_c0_seq24	RNA processing and modification
isogroup1507_c0_seq24	Translation, ribosomal structure and biogenesis
isogroup4766_c1_seq85	Nucleotide transport and metabolism
isogroup40918_c0_seq16	Extracellular structures
isogroup34891_c0_seq9	Replication, recombination and repair
isogroup7590_c0_seq2	Posttranslational modification, protein turnover, chaperones
isogroup100179_c0_seq1	Signal transduction mechanisms
isogroup119077_c0_seq1	Signal transduction mechanisms
isogroup15267_c0_seq88	Amino acid transport and metabolism
isogroup36269_c0_seq1	Replication, recombination and repair
isogroup28514_c0_seq1	Transcription
isogroup24251_c0_seq20	Energy production and conversion
isogroup69633_c0_seq1	RNA processing and modification
isogroup11815_c0_seq88	Replication, recombination and repair
isogroup6786_c0_seq34	Signal transduction mechanisms
isogroup366_c2_seq6	RNA processing and modification
isogroup21393_c0_seq2	Cell cycle control, cell division, chromosome partitioning
isogroup18550_c0_seq24	RNA processing and modification
isogroup15786_c0_seq12	Signal transduction mechanisms
isogroup3984_c0_seq5	Defense mechanisms
isogroup5095_c0_seq166	Replication, recombination and repair
isogroup3230_c3_seq202	Signal transduction mechanisms
isogroup212533_c0_seq1	RNA processing and modification
isogroup454198_c0_seq1	Amino acid transport and metabolism
isogroup6121_c0_seq1	RNA processing and modification
isogroup7695_c0_seq15	Secondary metabolites biosynthesis, transport and catabolism
isogroup3871_c1_seq123	Translation, ribosomal structure and biogenesis
isogroup135178_c0_seq1	Posttranslational modification, protein turnover, chaperones
isogroup15282_c1_seq1	Carbohydrate transport and metabolism
isogroup1205_c0_seq26	Signal transduction mechanisms
isogroup15935_c0_seq5	Replication, recombination and repair
isogroup126190_c0_seq2	Posttranslational modification, protein turnover, chaperones
isogroup24251_c0_seq23	Energy production and conversion
isogroup13829_c0_seq11	Cell cycle control, cell division, chromosome partitioning
isogroup13666_c0_seq2	Secondary metabolites biosynthesis, transport and catabolism
isogroup9376_c0_seq2	RNA processing and modification
isogroup94032_c0_seq1	Cell motility
isogroup126629_c0_seq1	Amino acid transport and metabolism
isogroup23569_c0_seq2	Transcription
isogroup22913_c0_seq62	Posttranslational modification, protein turnover, chaperones
isogroup27982_c0_seq1	Amino acid transport and metabolism
isogroup2453_c1_seq1	Signal transduction mechanisms
isogroup40469_c0_seq1	Energy production and conversion
isogroup3230_c3_seq86	Amino acid transport and metabolism
isogroup3230_c3_seq86	Signal transduction mechanisms
isogroup791_c2_seq71	Signal transduction mechanisms
isogroup24811_c0_seq3	RNA processing and modification
isogroup22094_c0_seq17	Signal transduction mechanisms
isogroup83619_c0_seq1	Posttranslational modification, protein turnover, chaperones
isogroup4172_c0_seq76	Signal transduction mechanisms
isogroup22312_c0_seq5	Posttranslational modification, protein turnover, chaperones
isogroup47829_c0_seq11	Signal transduction mechanisms
isogroup101747_c0_seq2	Secondary metabolites biosynthesis, transport and catabolism
isogroup252_c0_seq1	Translation, ribosomal structure and biogenesis
isogroup354967_c0_seq1	Inorganic ion transport and metabolism
isogroup48027_c0_seq2	Nucleotide transport and metabolism
isogroup18734_c0_seq4	Transcription
isogroup8833_c0_seq1	Posttranslational modification, protein turnover, chaperones
isogroup51170_c0_seq1	Translation, ribosomal structure and biogenesis
isogroup8254_c0_seq1	Energy production and conversion
isogroup25014_c0_seq19	Intracellular trafficking, secretion, and vesicular transport
isogroup107445_c0_seq2	Intracellular trafficking, secretion, and vesicular transport
isogroup35018_c0_seq2	Intracellular trafficking, secretion, and vesicular transport
isogroup8265_c1_seq101	Signal transduction mechanisms
isogroup6532_c0_seq2	Cell cycle control, cell division, chromosome partitioning
isogroup16729_c0_seq15	Signal transduction mechanisms
isogroup26318_c0_seq15	Coenzyme transport and metabolism
isogroup33412_c0_seq7	Signal transduction mechanisms
isogroup198693_c0_seq1	Carbohydrate transport and metabolism
isogroup30869_c0_seq2	Energy production and conversion
isogroup34715_c0_seq13	Carbohydrate transport and metabolism
isogroup17063_c0_seq2	Signal transduction mechanisms
isogroup11953_c0_seq5	Coenzyme transport and metabolism
isogroup49733_c0_seq3	Inorganic ion transport and metabolism
isogroup41410_c0_seq4	Signal transduction mechanisms
isogroup98946_c0_seq1	Signal transduction mechanisms
isogroup4164_c0_seq25	Signal transduction mechanisms
isogroup59197_c0_seq13	Amino acid transport and metabolism
isogroup99616_c0_seq2	Nucleotide transport and metabolism
isogroup9038_c0_seq13	Posttranslational modification, protein turnover, chaperones
isogroup112303_c0_seq1	Translation, ribosomal structure and biogenesis
isogroup34460_c0_seq3	Signal transduction mechanisms
isogroup400798_c0_seq1	Translation, ribosomal structure and biogenesis
isogroup19373_c0_seq2	Signal transduction mechanisms
isogroup11072_c0_seq16	Transcription
isogroup1078_c4_seq192	Energy production and conversion
isogroup6532_c0_seq31	Cell cycle control, cell division, chromosome partitioning
isogroup65603_c0_seq4	Posttranslational modification, protein turnover, chaperones
isogroup531798_c0_seq1	Translation, ribosomal structure and biogenesis
isogroup27486_c0_seq13	Posttranslational modification, protein turnover, chaperones
isogroup16729_c0_seq28	Signal transduction mechanisms
isogroup292547_c0_seq1	Signal transduction mechanisms
isogroup382_c3_seq40	RNA processing and modification
isogroup28110_c0_seq4	Posttranslational modification, protein turnover, chaperones
isogroup2619_c6_seq27	Signal transduction mechanisms
isogroup498139_c0_seq2	Transcription
isogroup22789_c0_seq22	Transcription
isogroup855_c0_seq72	Signal transduction mechanisms
isogroup48252_c0_seq3	Nucleotide transport and metabolism
isogroup9602_c0_seq4	Signal transduction mechanisms
isogroup9317_c0_seq14	Replication, recombination and repair
isogroup11246_c0_seq21	Transcription
isogroup104760_c0_seq4	Amino acid transport and metabolism
isogroup24492_c0_seq2	Replication, recombination and repair
isogroup142504_c0_seq1	Transcription
isogroup695_c8_seq383	Posttranslational modification, protein turnover, chaperones
isogroup4766_c1_seq64	Nucleotide transport and metabolism
isogroup412653_c0_seq1	Energy production and conversion
isogroup130591_c0_seq1	Posttranslational modification, protein turnover, chaperones
isogroup236278_c0_seq1	Inorganic ion transport and metabolism
isogroup472141_c0_seq1	Translation, ribosomal structure and biogenesis
isogroup15487_c0_seq5	RNA processing and modification
isogroup18550_c0_seq19	RNA processing and modification
isogroup1243_c0_seq16	Amino acid transport and metabolism
isogroup520846_c0_seq1	Signal transduction mechanisms
isogroup8265_c1_seq170	Signal transduction mechanisms
isogroup229675_c0_seq1	Translation, ribosomal structure and biogenesis
isogroup41268_c0_seq2	Posttranslational modification, protein turnover, chaperones
