isogroup28559	GO:0005929
isogroup288588	
isogroup87146	GO:0005829;GO:0010349;GO:0006012;GO:0019853
isogroup4909	GO:0005964;GO:0005886;GO:0005516;GO:0003824;GO:0005977;GO:0006468
isogroup149102	GO:0005615;GO:0048185;GO:0002244;GO:0032926;GO:1902870;GO:1902864;GO:1902876;GO:1902873;GO:0010977;GO:1902867;GO:0000122;GO:0051798;GO:0046670;GO:1901390
isogroup66410	
isogroup104915	GO:0005525
isogroup8882	GO:0005776;GO:0005783;GO:0005793;GO:0005768;GO:0005794;GO:0016020;GO:0005525;GO:0003924;GO:0006914;GO:0015031
isogroup160981	GO:0005737;GO:0005739;GO:0004146;GO:0008144;GO:0003729;GO:0050661;GO:0006545;GO:0009165;GO:0006730;GO:0031427;GO:0046654;GO:0046653
isogroup112789	
isogroup109060	GO:0046872;GO:0003964;GO:0009036;GO:0006310;GO:0090305;GO:0032199;GO:0032197
isogroup95996	GO:0005813;GO:0005737;GO:0030496;GO:0072686;GO:1990023;GO:0097431;GO:0007049;GO:0051301;GO:0007346
isogroup38323	GO:0043292;GO:0005737;GO:0031674;GO:0031430;GO:0005634;GO:0005516;GO:0097756;GO:0045907
isogroup4813	GO:0043186;GO:0005516;GO:0008270;GO:0042066;GO:0050896;GO:0007291;GO:0007286;GO:0007601
isogroup660614	GO:0005524;GO:0016301;GO:0000287;GO:0030955;GO:0004743
isogroup399485	GO:0009897;GO:0016021;GO:0043235;GO:0006958;GO:0007565;GO:0001701;GO:0045087;GO:0045916;GO:0030449
isogroup84691	GO:0005737
isogroup6740	GO:0005634;GO:0018024;GO:0046872;GO:0003676;GO:0042803;GO:0051151;GO:0045892;GO:0022008;GO:0006351
