Cladocopium28002	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate
Cladocopium293020	spermidine synthase activity
Cladocopium351145	Cobalamin synthesis protein. Source PGD
Cladocopium291096	ribosomal protein import into nucleus
Cladocopium188152	ammonium transmembrane transporter activity
Cladocopium340154	Putative GTP-ase activating proteins for the small GTPase, ARF
Cladocopium40050	TTK protein kinase
Cladocopium317609	protein catabolic process
Cladocopium274335	Ketopantoate hydroxymethyltransferase
Cladocopium296009	vesicle-mediated transport
Cladocopium264218	glycosyltransferase family 32 protein
Cladocopium266131	Ubiquitin carrier protein. Source PGD
Cladocopium176919	DHHC palmitoyltransferase
Cladocopium174486	glucose import
Cladocopium220243	Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
Cladocopium196362	peptidyl-prolyl cis-trans isomerase
Cladocopium166842	P-loop containing nucleoside triphosphate hydrolase protein
Cladocopium45950	Serine threonine-protein kinase
Cladocopium113327	Exostosin family
Cladocopium230456	cmgc dyrk yak protein kinase
Cladocopium79188	OTU-like cysteine protease
Cladocopium347273	Taurine catabolism dioxygenase TauD, TfdA family
Cladocopium44194	Prolyl-tRNA synthetase
Cladocopium265932	Parkin co-regulated protein
Cladocopium272953	triosephosphate isomerase
Cladocopium186457	oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor
Cladocopium209289	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Cladocopium79638	phosphatidylinositol phospholipase C activity
Cladocopium261298	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Cladocopium58046	RNA-binding protein mei2 homologue
Cladocopium292159	Inorganic pyrophosphatase
Cladocopium184470	Catalyzes the conversion of dihydroorotate to orotate with quinone as electron acceptor
Cladocopium341553	inner dynein arm assembly
Cladocopium292636	3-oxo-behenoyl-CoA reductase activity
Cladocopium283314	ATP-dependent RNA helicase activity
Cladocopium229801	tyrosine-tRNA ligase activity
Cladocopium294951	N-terminal region of glycosyl transferase group 7
Cladocopium35025	Acyl-CoA oxidase
Cladocopium82167	WD domain, G-beta repeat
Cladocopium267858	Belongs to the ClpA ClpB family
Cladocopium340966	ATP-dependent microtubule motor activity, minus-end-directed
Cladocopium84617	Protein tyrosine kinase
Cladocopium179721	carboxylic ester hydrolase activity
Cladocopium182478	phosphoprotein phosphatase activity
Cladocopium44821	Belongs to the nucleosome assembly protein (NAP) family
Cladocopium305366	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin
Cladocopium109609	Belongs to the protein kinase superfamily
Cladocopium83979	oligosaccharyl transferase activity
Cladocopium112288	Aspartyl/Asparaginyl beta-hydroxylase
Cladocopium113931	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Cladocopium20521	Tubulin-tyrosine ligase family
Cladocopium116350	cysteine-type peptidase activity
Cladocopium95284	ATP binding. It is involved in the biological process described with protein phosphorylation
Cladocopium320888	Regulator of chromosome condensation
Cladocopium270829	Belongs to the DEAD box helicase family
Cladocopium113993	3-beta hydroxysteroid dehydrogenase/isomerase family
Cladocopium276313	ribulose-phosphate 3-epimerase activity
Cladocopium124973	racemase activity, acting on amino acids and derivatives
Cladocopium301484	IMP dehydrogenase / GMP reductase domain
Cladocopium287011	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Cladocopium191159	Elongation factor G C-terminus
Cladocopium35781	Las1-like
Cladocopium115787	sphingolipid metabolic process
Cladocopium48001	UDP-glucoronosyl and UDP-glucosyl transferase
Cladocopium21018	2-nitropropane dioxygenase
Cladocopium41319	maturation of LSU-rRNA
Cladocopium277766	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
Cladocopium49481	AMP-binding enzyme C-terminal domain
Cladocopium158216	CGMP-dependent protein kinase
Cladocopium290971	this activity may be independent of acetylation activity. Acetylates alpha-tubulin with a slow enzymatic rate, due to a catalytic site that is not optimized for acetyl transfer. Enters the microtubule through each end and diffuses quickly throughout the lumen of microtubules. Acetylates only long old microtubules because of its slow acetylation rate since it does not have time to act on dynamically unstable microtubules before the enzyme is released
Cladocopium297818	Pyrroline-5-carboxylate reductase dimerisation
Cladocopium119132	to Saccharomyces cerevisiae REX4 (YOL080C)
Cladocopium210047	Ribosomal protein S19e
Cladocopium118620	Sigma factor PP2C-like phosphatases
Cladocopium203557	Belongs to the protein kinase superfamily
Cladocopium54999	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins
Cladocopium294157	polynucleotide adenylyltransferase activity
Cladocopium33572	Peptidase family C78
Cladocopium190903	Fructose-bisphosphate aldolase class-II
Cladocopium313491	ABC-type multidrug transport system ATPase and permease
Cladocopium57540	fructose 1,6-bisphosphate 1-phosphatase activity
Cladocopium241890	Multidrug resistance-associated protein 4-like
Cladocopium44627	Ubiquitin-like protein involved in cytoplasm to vacuole transport (Cvt) and autophagic vesicle formation
Cladocopium232551	ABC transporter G family member
Cladocopium179864	positive regulation of G0 to G1 transition
Cladocopium193730	TruB pseudouridine (psi) synthase homolog 1 (E. coli)
Cladocopium306489	xanthine catabolic process
