isogroup1422	K18753
isogroup60459	K03871
isogroup7063	K09420
isogroup270030	K16457
isogroup639529	K06255
isogroup106803	K00008
isogroup280169	K07375
isogroup121911	K05673
isogroup606914	K09214
isogroup144852	K06942
isogroup67789	K13517
isogroup129992	K09067
isogroup16609	K11730
isogroup10925	K07941
isogroup13672	K16186
isogroup4023	K10839
isogroup112130	K01672
isogroup20356	K13813
isogroup60563	K19604
isogroup272619	K19589
isogroup54246	K18533
isogroup99378	K01019
isogroup23197	K09318
isogroup35014	K16489
isogroup67569	K11341
isogroup539	K19721
isogroup34075	K18621
isogroup445890	K03260
isogroup98283	K08770
isogroup12096	K05051
isogroup6154	K01061
isogroup106510	K12647
isogroup62851	K06127
isogroup584793	K00315
isogroup25132	K08588
isogroup332130	K18274
isogroup268451	K03868
isogroup359236	K00308
isogroup134862	K17495
isogroup12905	K10457
isogroup22090	K05545
isogroup155609	K03174
isogroup27658	K01115
isogroup231802	K04515
isogroup618185	K04157
isogroup16136	K07914
isogroup10631	K04676
isogroup113017	K06278
isogroup41845	K14777
isogroup114963	K04810
isogroup41685	K01349
isogroup284579	K03068
isogroup264760	K15370
isogroup110908	K11411
isogroup24622	K14401
isogroup40179	K00649
isogroup524442	K12830
isogroup211173	K04885
isogroup100608	K05125
isogroup54209	K01135
isogroup293203	K05863
isogroup235226	K13675
isogroup95671	K14207
isogroup72475	K06825
isogroup204644	K05034
isogroup346676	K10809
isogroup26070	K09592
isogroup110282	K01952
isogroup156285	K19413
isogroup26153	K17816
isogroup42423	K19384
isogroup41502	K09848
isogroup7474	K15438
isogroup306190	K17495
isogroup94961	K18123
isogroup156663	K02978
isogroup8253	K12177
isogroup110981	K15254
isogroup26862	K04600
isogroup151545	K00380
isogroup145172	K05039
isogroup11802	K11279
isogroup1782	K06491
isogroup28514	K08524
isogroup49890	K21121
isogroup129173	K18588
isogroup373	K00522
isogroup29800	K16669
isogroup30892	K13411
isogroup35406	K15100
isogroup92364	K15442
isogroup70170	K08834
isogroup63064	K17495
isogroup6409	K14688
isogroup187655	K09214
isogroup86316	K16777
isogroup15635	K17797
isogroup16996	K17598
isogroup418007	K01509
isogroup6437	K17307
isogroup2228	K02132
isogroup400545	K04079
isogroup89851	K11491
isogroup83158	K00799
isogroup37174	K02990
isogroup697910	K07380
isogroup179121	K10266
isogroup46582	K00182
isogroup43383	K13103
isogroup45680	K13806
isogroup11404	K06820
isogroup25367	K15171
isogroup39562	K14857
isogroup180632	K03283
isogroup670571	K13983
isogroup27538	K16743
isogroup97402	K01315
isogroup93430	K19178
isogroup162701	K01349
isogroup70387	K00290
isogroup30738	K04515
isogroup92738	K17690
isogroup29369	K09608
isogroup46745	K15152
isogroup73152	K13353
isogroup1091	K04646
isogroup28127	K07756
isogroup25616	K17562
isogroup7619	K03033
isogroup115836	K08630
isogroup78411	K05129
isogroup122098	K12035
isogroup21184	K20828
isogroup2494	K17495
isogroup29790	K00477
isogroup112569	K18245
isogroup232699	K02937
isogroup30869	K00058
isogroup13035	K05868
isogroup19383	K03014
isogroup550521	K04646
isogroup8375	K05610
isogroup700113	K02349
isogroup470698	K03676
isogroup859	K04565
isogroup51897	K10380
isogroup188806	K19927
isogroup16402	K19985
isogroup76218	K01047
isogroup192444	K00474
isogroup360265	K14638
isogroup43711	K14805
isogroup25590	K11481
isogroup260548	K09322
isogroup714758	K02256
isogroup26496	K00939
isogroup73874	K10380
isogroup29987	K19613
isogroup76787	K08624
isogroup104080	K07497
isogroup4800	K12838
isogroup115894	K14394
isogroup29523	K14537
isogroup7914	K16353
isogroup53577	K03327
isogroup39229	K11141
isogroup135013	K06813
isogroup624810	K16857
isogroup99923	K17572
isogroup7742	K20412
isogroup220086	K06051
isogroup84045	K07497
isogroup47848	K12385
isogroup640947	K03993
isogroup198501	K06252
