Cladocopium293578	K22370
Cladocopium340154	K12486
Cladocopium86868	K04843
Cladocopium190703	K18729
Mcavernosa12298	K06537
Cladocopium176919	K20028
Cladocopium174486	K08139
Cladocopium220243	K20715
Cladocopium272582	K19219
Mcavernosa28090	K12471
Cladocopium230456	K18670
Mcavernosa34467	K01349
Mcavernosa14703	K11981
Cladocopium212879	K05941
Mcavernosa00557	K17286
Cladocopium283314	K12820
Mcavernosa19346	K01698
Cladocopium294951	K00733
Cladocopium182478	K14501
Cladocopium44821	K11279
Mcavernosa30504	K05126
Mcavernosa33691	K05695
Mcavernosa20568	K06997
Mcavernosa04914	K17341
Cladocopium116350	K01365
Cladocopium276313	K01783
Mcavernosa24520	K01408
Cladocopium301484	K02371
Cladocopium287011	K14792
Cladocopium191159	K06207
Mcavernosa04900	K05635
Cladocopium158216	K07376
Mcavernosa04934	K19882
Cladocopium119132	K14570
Cladocopium210047	K02966
Cladocopium348083	K10413
Mcavernosa05114	K16059
Cladocopium294157	K03514
Cladocopium190903	K01624
Mcavernosa19111	K20406
Cladocopium313491	K06148
Mcavernosa13763	K17504
Mcavernosa12277	K08857
Cladocopium279723	K01895
Mcavernosa21073	K17341
Cladocopium283765	K07466
Cladocopium123230	K16290
Mcavernosa14552	K13191
Mcavernosa24808	K16746
Mcavernosa07385	K08073
Mcavernosa12910	K17268
Mcavernosa14996	K07579
Mcavernosa16702	K01217
Mcavernosa08569	K10366
Cladocopium268635	K00574
Cladocopium88262	K12132
Cladocopium261623	K11541
Mcavernosa01715	K00626
Mcavernosa07056	K12487
Mcavernosa12759	K06972
Mcavernosa25701	K03333
Mcavernosa33860	K00976
Cladocopium271042	K10394
Cladocopium294692	K14708
Cladocopium274669	K16675
Mcavernosa09847	K04142
Cladocopium236476	K03686
Cladocopium114096	K00645
Mcavernosa01487	K03950
Mcavernosa14227	K10592
Cladocopium285755	K03321
Mcavernosa21572	K07937
Mcavernosa06587	K12751
Cladocopium119671	K01775
Cladocopium263746	K10380
Mcavernosa16180	K10270
Mcavernosa09212	K15297
Cladocopium292432	K08857
Cladocopium311611	K04905
Cladocopium304502	K16675
Cladocopium270130	K14165
Cladocopium61863	K14724
Cladocopium87097	K06189
Cladocopium335257	K08576
Mcavernosa09646	K07912
Mcavernosa15384	K16744
Cladocopium301473	K08794
Mcavernosa02784	K10641
Mcavernosa01364	K06628
Cladocopium283811	K00615
Cladocopium278214	K08292
Cladocopium312479	K09511
Mcavernosa18916	K21863
Mcavernosa22586	K01365
Cladocopium271528	K08827
Cladocopium103542	K12854
Cladocopium293797	K14538
Cladocopium115642	K12819
Mcavernosa18985	K22655
Cladocopium111446	K00033
Mcavernosa07379	K10264
Cladocopium286417	K22866
Mcavernosa33868	K07888
Mcavernosa12931	K20704
Mcavernosa00038	K12132
